id,name,ff_count,fi_count,ef_count
0,Bool,0,0,0
1,Char,23,0,10
2,Int,1,0,66
3,Uint,6307,5,60
4,Float,0,0,0
5,Adt,9896,176,176
6,Foreign,0,0,0
7,Str,0,4,12
8,Array,150,0,3
9,Slice,4,0,43
10,RawPtr,0,0,0
11,Ref,0,0,0
12,FnDef,0,0,0
13,FnPtr,293,5,3
14,Dynamic,3,2,29
15,Closure,0,0,0
16,Generator,0,0,0
17,GeneratorWitness,0,0,0
18,Never,0,0,0
19,Tuple,7,2,43
20,Projection,0,0,0
21,Opaque,0,0,0
22,Param,0,0,0
23,Bound,0,0,0
24,Placeholder,0,0,0
25,Infer,0,0,0
26,Error,0,0,0
