crate_name,category,abi,count
kplayer-rust-wrap-1.5.7,foreign_functions,C,16
kplayer-rust-wrap-1.5.7,rust_functions,C,14
clickhouse-rs-cityhash-sys-0.1.2,foreign_functions,C,1
rlimit-0.8.3,foreign_functions,C,1
xiapi-sys-0.1.1,foreign_functions,C,126
vulkan-sys-0.1.1,foreign_functions,system,324
input-sys-1.16.1,foreign_functions,C,260
clipper-sys-0.7.2,foreign_functions,C,8
cblas-sys-0.1.4,foreign_functions,C,145
tree-sitter-jack-0.1.1,foreign_functions,C,1
ovr_overlay_sys-0.0.0,foreign_functions,C,1081
safe-associated-token-account-1.1.1,rust_functions,C,1
solana_bank-0.1.0,rust_functions,C,1
monotone-crescendo-1.0.4,rust_functions,C,3
wfc-rs-0.6.1,foreign_functions,C,10
crndm-0.1.0,rust_functions,rust-call,1
k2hash-sys-0.0.1,foreign_functions,C,6
superlu-sys-0.3.2,foreign_functions,C,21
assemblage_broadcast-0.1.0,rust_functions,C,1
ssh2-patched-0.9.4-p1,rust_functions,C,1
tabox-1.3.0,foreign_functions,C,2
rs-secp256k1-0.5.7,foreign_functions,C,30
rs-secp256k1-0.5.7,static_items,C,2
opo-0.1.0,rust_functions,C,2
libscripthookv-sys-0.1.0,foreign_functions,C,20
tree-sitter-ssh-client-config-1.0.3,foreign_functions,C,1
memfile-0.2.1,foreign_functions,C,1
owasm-std-0.20.1,foreign_functions,C,24
randall-0.0.0,rust_functions,C,1
gc_nes_web-0.1.5,rust_functions,C,11
sgx_ucrypto-1.1.1,rust_functions,C,3
prql4j-0.1.0,rust_functions,system,2
php-all-sys-0.0.1,foreign_functions,C,6903
php-all-sys-0.0.1,static_items,C,529
shuttle-0.5.0,rust_functions,C,2
hwloc-0.5.0,foreign_functions,C,43
mpl-candy-machine-nano-0.1.0,rust_functions,C,1
ahrs-fusion-0.4.0,foreign_functions,C,2
acl-sys-1.2.2,foreign_functions,C,28
lib_sens-0.1.4,rust_functions,C,4
freestanding-musl-malloc-1.0.0,foreign_functions,C,6
mco-gen-0.1.0,foreign_functions,C,3
autd3-link-soem-2.7.0,foreign_functions,C,15
autd3-link-soem-2.7.0,rust_functions,C,1
autd3-link-soem-2.7.0,static_items,C,5
audir-0.1.0,rust_functions,C,2
tvis-0.15.3,rust_functions,C,1
rttrust-0.1.3,foreign_functions,C,179
rttrust-0.1.3,rust_functions,C,7
rttrust-0.1.3,static_items,C,3
kyotocabinet-0.0.6,foreign_functions,C,7
libxdo-sys-0.11.0,foreign_functions,C,70
libzui-0.0.3,foreign_functions,C,4
dateless-0.3.1,rust_functions,C,6
trapframe-0.9.0,foreign_functions,sysv64,2
libevdev-sys-0.1.1,foreign_functions,C,73
autocxx-bindgen-0.62.0,rust_functions,C,1
makepad-glx-sys-0.1.0,foreign_functions,C,995
makepad-glx-sys-0.1.0,static_items,C,1
libccp-1.1.1,foreign_functions,C,9
libccp-1.1.1,rust_functions,C,7
exonum_libsodium-sys-0.0.24,foreign_functions,C,260
wapc-guest-1.0.0,foreign_functions,C,9
wapc-guest-1.0.0,rust_functions,C,1
wpilib-sys-0.4.0,foreign_functions,C,315
solana-noop-0.11.0,rust_functions,C,1
pg_parse-0.10.0,foreign_functions,C,19
rds-0.0.3,foreign_functions,C,28
postgres_alloc-0.0.1,foreign_functions,C,3
blurhash-wasm-0.2.0,rust_functions,C,1
libvex-sys-0.1.1,foreign_functions,C,150
libvex-sys-0.1.1,static_items,C,3
gmt_mount-ctrl_sampling1000-damping002_ze00-0.1.0,foreign_functions,C,3
gmt_mount-ctrl_sampling1000-damping002_ze00-0.1.0,static_items,C,2
vride-api-0.1.0,rust_functions,C,1
holochain_wasmer_guest-0.0.82,rust_functions,C,2
cat_solver-0.1.0,foreign_functions,C,8
tm-sys-2020.11.6,foreign_functions,C,47
tm-sys-2020.11.6,static_items,C,108
verilization-bindings-c-api-core-0.1.0,rust_functions,C,4
ocl-0.19.4,rust_functions,C,1
scale_signature_http-0.0.1,foreign_functions,C,1
rsndfile-0.0.2,foreign_functions,C,40
nethost-sys-0.6.2,foreign_functions,system,1
jieba-0.1.3,foreign_functions,C,12
nfc-sys-0.1.5,foreign_functions,C,56
lcm-0.2.0,foreign_functions,C,9
lcm-0.2.0,rust_functions,C,1
class_group-0.6.0,foreign_functions,C,12
fastwfc-sys-0.1.0,foreign_functions,C,11
indy-crypto-0.5.1-rc-1,rust_functions,C,2
ooxml-0.2.6,rust_functions,C,1
wasm-compiler-0.0.0,foreign_functions,C,2
wasm-compiler-0.0.0,rust_functions,C,1
shout-sys-0.1.1,foreign_functions,C,55
trousers-sys-0.0.0,foreign_functions,C,124
distill-loader-0.0.3,rust_functions,C,2
rivi-loader-0.1.5,rust_functions,system,1
beastlink-1.0.0,foreign_functions,C,22
beastlink-1.0.0,rust_functions,C,2
tsf-sys-0.2.0,foreign_functions,C,42
rust-gmp-0.5.0,foreign_functions,C,126
rust-gmp-0.5.0,static_items,C,1
errno-dragonfly-0.1.2,foreign_functions,C,1
webblender-0.1.1,rust_functions,C,4
sgx_types-1.1.2,foreign_functions,C,185
sqlite-pagecache-0.1.0,foreign_functions,C,270
sqlite-pagecache-0.1.0,rust_functions,C,11
sqlite-pagecache-0.1.0,static_items,C,3
variadic_monoids-0.1.1,rust_functions,rust-call,1
newt-0.6.8,rust_functions,C,4
spirv-tools-0.9.0,rust_functions,C,1
js_call-0.0.1,foreign_functions,C,2
i-slint-renderer-skia-0.3.3,rust_functions,C,4
sapp-wasm-0.1.26,foreign_functions,C,270
sapp-wasm-0.1.26,rust_functions,C,14
dbus-rs-0.0.5,foreign_functions,C,47
dbus-rs-0.0.5,rust_functions,C,2
deno_core-0.164.0,rust_functions,C,5
libsweep-1.0.1,foreign_functions,C,15
h1emu-core-1.0.0,rust_functions,C,42
mp4parse_fallible-0.0.3,foreign_functions,C,2
libproxy-0.1.1,foreign_functions,C,3
evil-janet-1.25.1,foreign_functions,C,389
evil-janet-1.25.1,static_items,C,12
snap7-sys-0.1.4,foreign_functions,C,34
tree-sitter-mozcpp-0.19.5,foreign_functions,C,1
ray-rs-0.0.0,rust_functions,rust-call,12
ray-rs-0.0.0,rust_functions,C,1
serde_traitobject-0.2.8,rust_functions,rust-call,3
libfyaml-sys-0.1.3+fy0.7.12,foreign_functions,C,326
polychat-plugin-0.3.1,foreign_functions,C,1
rcrt1-2.4.0,rust_functions,C,2
cmsis-cffi-0.6.0,rust_functions,C,19
vk_llw-0.0.1,rust_functions,system,1
ops-on-fn-0.0.1,rust_functions,rust-call,6
autd3-soem-link-1.10.0,foreign_functions,C,13
autd3-soem-link-1.10.0,static_items,C,3
servo-egl-0.2.1,foreign_functions,C,34
printf-rs-0.1.1,foreign_functions,C,3
printf-rs-0.1.1,static_items,C,1
domino_program-0.1.2,rust_functions,C,1
floui-0.1.5,rust_functions,C,4
topgrade-rs-10.0.1,rust_functions,C,1
syzygy-0.0.6,rust_functions,C,8
usermode-0.1.0,foreign_functions,C,4
mc-sgx-tstdc-sys-0.4.0,foreign_functions,C,28
iceyee_random-1.0.3,foreign_functions,C,1
rpmalloc-sys-0.2.3+b097fd0,foreign_functions,C,19
brcode-1.4.2,rust_functions,C,9
