error_id,crate_name,version,test_name,error_type,error_text,full_error_text,passed_in_tree_borrows,num_occurrences
1,advocat,3.0.0,fetch::credentials::test::credentials_build_form_test,Undefined Behavior,memory access failed,Undefined Behavior: memory access failed: null pointer is a dangling pointer (it has no provenance),FALSE,1
2,aflak_imgui-sys,0.18.1,test_default_style,Undefined Behavior,"accessing memory with alignment 1, but alignment 4 is required","Undefined Behavior: accessing memory with alignment 1, but alignment 4 is required",FALSE,1
3,aigc_secp256k1zkp,0.7.12,ecdh::tests::ecdh,Undefined Behavior,constructing invalid value at .value.0[0],"Undefined Behavior: constructing invalid value at .value.0[0]: encountered uninitialized memory, but expected an integer",FALSE,2
4,aigc_secp256k1zkp,0.7.12,key::test::test_bad_deserialize,Undefined Behavior,constructing invalid value at .value[0],"Undefined Behavior: constructing invalid value at .value[0]: encountered uninitialized memory, but expected an integer",FALSE,2
5,arcdps-imgui,0.8.0,context::test_set_ini_filename,Undefined Behavior,"attempting a read access using <120109> at alloc40422[0x0], but that tag does not exist in the borrow stack for this location","Undefined Behavior: attempting a read access using <> at alloc[0x0], but that tag does not exist in the borrow stack for this location",TRUE,2
6,archive-lp,0.2.3,xz_tar_extract_a_file,Test Failed,NA,"test failed, to rerun pass `--test xztar`",FALSE,2
7,arkiv,0.5.0,tar_bz2_archive,Undefined Behavior,"attempting a read access using <116643> at alloc30489[0x8], but that tag does not exist in the borrow stack for this location","Undefined Behavior: attempting a read access using <> at alloc[0x8], but that tag does not exist in the borrow stack for this location",FALSE,1
13,atms,0.1.0,multi_sig::tests::serde_sig,Undefined Behavior,"attempting a read access using <385000> at alloc135963[0x1], but that tag does not exist in the borrow stack for this location","Undefined Behavior: attempting a read access using <> at alloc[0x1], but that tag does not exist in the borrow stack for this location",FALSE,1
14,bad64,0.6.0,testcases,Undefined Behavior,memory access failed,"Undefined Behavior: memory access failed: alloc has size 16, so pointer to 4 bytes starting at offset 16 is out-of-bounds",FALSE,1
15,bchlib,0.2.1,tests::test_decode,memory leaked,"alloc25095 (C heap, size","memory leaked: alloc (C heap, size: 16, align: 16), allocated here:",FALSE,2
16,bchlib,0.2.1,tests::test_decode_err,memory leaked,"alloc25219 (C heap, size","memory leaked: alloc (C heap, size: 24, align: 16), allocated here:",FALSE,1
17,bchlib-sys,0.2.1,tests::it_works,memory leaked,"alloc25205 (C heap, size","memory leaked: alloc (C heap, size: 4, align: 4), allocated here:",FALSE,1
18,bdk_chain,0.5.0,test_list_owned_txouts,Undefined Behavior,"attempting a read access using <2124406> at alloc472069[0x8], but that tag does not exist in the borrow stack for this location","Undefined Behavior: attempting a read access using <> at alloc[0x8], but that tag does not exist in the borrow stack for this location",TRUE,1
19,bip322-simple,0.3.1,tests::test_base64_encoded_signature,Undefined Behavior,"attempting a read access using <406709> at alloc170844[0x140], but that tag does not exist in the borrow stack for this location","Undefined Behavior: attempting a read access using <> at alloc[0x140], but that tag does not exist in the borrow stack for this location",TRUE,2
20,bip322-simple,0.3.1,tests::test_simple_sig_taproot,Undefined Behavior,"attempting a read access using <774224> at alloc170882[0x140], but that tag does not exist in the borrow stack for this location","Undefined Behavior: attempting a read access using <> at alloc[0x140], but that tag does not exist in the borrow stack for this location",TRUE,2
21,bip351,0.4.0,tests::notifications_and_transacting,LLI interoperation error,Rust type mismatch,LLI interoperation error: Rust type mismatch: cannot convert a Rust value of type i32 to an LLVM value of type i64.,FALSE,1
22,bip47,0.3.0,tests::test_ecdh_params,Undefined Behavior,"attempting a read access using <390750> at alloc215095[0x8], but that tag does not exist in the borrow stack for this location","Undefined Behavior: attempting a read access using <> at alloc[0x8], but that tag does not exist in the borrow stack for this location",TRUE,4
23,blake2_c,0.3.3,test::test_all_parameters_blake2b,Undefined Behavior,constructing invalid value at .value[0],"Undefined Behavior: constructing invalid value at .value[0]: encountered uninitialized memory, but expected an integer",FALSE,11
