error_id,crate_name,version,test_name,error_type,error_text,full_error_text,passed_in_stack_borrows,num_occurrences
206,milagro-crypto,0.1.14,ff::tests::test_ff_pow,Undefined Behavior,write access through <145130> is forbidden,Undefined Behavior: write access through <> is forbidden,FALSE,1
207,milagro-crypto,0.1.14,big::tests::test_bytes,Undefined Behavior,write access through <109776> is forbidden,Undefined Behavior: write access through <> is forbidden,FALSE,1
208,milagro-crypto,0.1.14,big::tests::test_big_hex_io,Undefined Behavior,write access through <129248> is forbidden,Undefined Behavior: write access through <> is forbidden,FALSE,27
209,milagro-crypto,0.1.14,ff::tests::test_ff_is_prime,Undefined Behavior,write access through <694985> is forbidden,Undefined Behavior: write access through <> is forbidden,FALSE,1
211,minilzo-rs,0.6.0,tests::test_lzo_cmpress,Undefined Behavior,constructing invalid value at .value[0],"Undefined Behavior: constructing invalid value at .value[0]: encountered uninitialized memory, but expected an integer",FALSE,1
213,minimap2,0.1.16+minimap2.2.26,tests::create_index,Test Failed,NA,"test failed, to rerun pass `--lib`",FALSE,6
214,minimap2-sys,0.1.16+minimap2.2.26,tests::set_index_and_mapping_opts,Undefined Behavior,constructing invalid value at .value.k,"Undefined Behavior: constructing invalid value at .value.k: encountered uninitialized memory, but expected an integer",FALSE,1
215,minimp3_ex-sys,0.1.1,open_dummy_cb,memory leaked,"alloc24688 (C heap, size","memory leaked: alloc (C heap, size: 131072, align: 16), allocated here:",FALSE,1
221,ms5837,0.2.1,tests::crc4,Undefined Behavior,write access through <92011> is forbidden,Undefined Behavior: write access through <> is forbidden,FALSE,1
226,mugle_secp256k1zkp,0.7.12,tests::signature_lax_der,Undefined Behavior,constructing invalid value at .value.0[0],"Undefined Behavior: constructing invalid value at .value.0[0]: encountered uninitialized memory, but expected an integer",FALSE,1
227,mugle_secp256k1zkp,0.7.12,key::test::test_bad_deserialize,Undefined Behavior,constructing invalid value at .value[0],"Undefined Behavior: constructing invalid value at .value[0]: encountered uninitialized memory, but expected an integer",FALSE,2
228,mugle_secp256k1zkp,0.7.12,key::test::test_pubkey_from_slice_bad_context,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE,1
229,mugle_secp256k1zkp,0.7.12,aggsig::tests::test_aggsig_batch,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE,53
246,openh264-sys2,0.4.1,can_call_simple_decoder,LLI interoperation error,LLVM field count mismatch,LLI interoperation error: LLVM field count mismatch: cannot convert an LLVM value with 2 fields to a Rust value of type `openh264_sys2::_tagVersion` which has 4 fields.,FALSE,1
247,p256k1,5.4.1,ecdsa::tests::signature_from,Undefined Behavior,memory access failed,Undefined Behavior: memory access failed: 0x7f31938ab860[noalloc] is a dangling pointer (it has no provenance),FALSE,1
248,p256k1,5.4.1,ecdsa::tests::signature_generation_threaded,Undefined Behavior,memory access failed,Undefined Behavior: memory access failed: 0x7f3a27ddb860[noalloc] is a dangling pointer (it has no provenance),FALSE,1
249,p256k1,5.4.1,keys::tests::xonlykey_point,Undefined Behavior,memory access failed,Undefined Behavior: memory access failed: 0x7f3f7b667860[noalloc] is a dangling pointer (it has no provenance),FALSE,1
250,p256k1,5.4.1,keys::tests::xonlykey_serde,Undefined Behavior,memory access failed,Undefined Behavior: memory access failed: 0x7f4e85a2e860[noalloc] is a dangling pointer (it has no provenance),FALSE,1
251,p256k1,5.4.1,schnorr::tests::signature,Undefined Behavior,memory access failed,Undefined Behavior: memory access failed: 0x7f8cb6efd860[noalloc] is a dangling pointer (it has no provenance),FALSE,1
252,p256k1,5.4.1,ecdsa::tests::signature_generation,Undefined Behavior,memory access failed,Undefined Behavior: memory access failed: 0x7f9eabac9860[noalloc] is a dangling pointer (it has no provenance),FALSE,1
253,p256k1,5.4.1,keys::tests::pubkey_serde,Undefined Behavior,memory access failed,Undefined Behavior: memory access failed: 0x7fa0ce2e1860[noalloc] is a dangling pointer (it has no provenance),FALSE,1
254,p256k1,5.4.1,ecdsa::tests::signature_serde,Undefined Behavior,memory access failed,Undefined Behavior: memory access failed: 0x7fbd19788860[noalloc] is a dangling pointer (it has no provenance),FALSE,1
255,p256k1,5.4.1,keys::tests::keypair,Undefined Behavior,memory access failed,Undefined Behavior: memory access failed: 0x7fcf6fb20860[noalloc] is a dangling pointer (it has no provenance),FALSE,1
256,p256k1,5.4.1,field::tests::add,Test Failed,NA,"test failed, to rerun pass `--lib`",FALSE,9
257,paq,1.0.1,it_hashes_directory,Test Failed,NA,"test failed, to rerun pass `--test functional`",FALSE,9
258,parity-db,0.4.11,compress::tests::test_compression_interfaces,Undefined Behavior,write access through <115776> is forbidden,Undefined Behavior: write access through <> is forbidden,TRUE,1
259,parity-secp256k1,0.7.0,ecdh::tests::ecdh,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE,31
260,parity-secp256k1,0.7.0,key::test::test_pubkey_from_slice_bad_context,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE,1
261,parquet2,0.17.2,read::lz4_legacy::test_lz4_large_file,Stack Overflow,NA,26:fatal runtime error: stack overflow,TRUE,1
263,pcre2,0.2.4,bytes::tests::capture_names,Test Failed,NA,"test failed, to rerun pass `--lib`",FALSE,5
266,picohttpparser-sys,1.0.0,error,LLI interoperation error,Unsupported LLVM Type,LLI interoperation error: Unsupported LLVM Type: <16 x i8>,FALSE,4
267,picohttpparser-sys,1.0.0,accept_msb_chars,Undefined Behavior,memory access failed,"Undefined Behavior: memory access failed: alloc has size 5, so pointer to 8 bytes starting at offset 0 is out-of-bounds",FALSE,18
268,picohttpparser-sys,1.0.0,incomplete_1,Undefined Behavior,write access through <99483> is forbidden,Undefined Behavior: write access through <> is forbidden,FALSE,18
270,pkgcraft-tools,0.0.11,dep::compare::args,Stack Overflow,NA,4:fatal runtime error: stack overflow,FALSE,6
271,plthook,0.2.2,tests::use_c_api,Undefined Behavior,memory access failed,Undefined Behavior: memory access failed: 0x7f3aba47e110[noalloc] is a dangling pointer (it has no provenance),FALSE,1
272,plthook,0.2.2,tests::replace_atof,Undefined Behavior,memory access failed,Undefined Behavior: memory access failed: 0x7f65df3d7110[noalloc] is a dangling pointer (it has no provenance),FALSE,1
273,pqcrypto-mqdss,0.3.0,mqdss48::test::test_sign_detached,Undefined Behavior,incorrect number of arguments for `getrandom` syscall,"Undefined Behavior: incorrect number of arguments for `getrandom` syscall: got 1, expected at least 4",FALSE,1
274,pqcrypto-mqdss,0.3.0,ffi::test_mqdss64_clean::test_ffi,Undefined Behavior,incorrect number of arguments for `getrandom` syscall,"Undefined Behavior: incorrect number of arguments for `getrandom` syscall: got 1, expected at least 4",FALSE,1
275,pqcrypto-newhope,0.1.2,ffi::test_newhope1024cca_clean::test_ffi,Undefined Behavior,incorrect number of arguments for `getrandom` syscall,"Undefined Behavior: incorrect number of arguments for `getrandom` syscall: got 1, expected at least 4",FALSE,2
276,pqcrypto-newhope,0.1.2,ffi::test_newhope1024cpa_clean::test_ffi,Undefined Behavior,incorrect number of arguments for `getrandom` syscall,"Undefined Behavior: incorrect number of arguments for `getrandom` syscall: got 1, expected at least 4",FALSE,2
