bug_id,crate,version,location,representative_test_case,notes,emailed,acknowledged,novel,issue,pull_request,commit,follow_up
minimap2-sys_1,minimap2-sys,0.1.16+minimap2.2.26,Mixed,tests::set_index_and_mapping_opts,Use of &0 instead of std::ptr::null leads to uninitialized memory,Yes,Yes,Yes,,,https://github.com/jguhlin/minimap2-rs/commit/2ac2a6d4c8712d1534a63e895cd862c72c563b25,
minimp3_ex-sys_1,minimp3_ex-sys,0.1.1,Mixed,open_dummy_cb,Forgot to call deallocation,Yes,Yes,Yes,,https://github.com/mgeier/minimp3_ex-sys/pull/5,,
ms5837_1,ms5837,0.2.1,Mixed,tests::crc4,Immutable pointer passed as argument to function. Wasn't present in production codebase.,Yes,Yes,Yes,,https://github.com/silvergasp/ms5837-driver/pull/26,,
mseed_1,mseed,0.5.0,Rust,"util::tests::test_seedchan2xchan,",CString confusing length with capacity,Yes,Yes,Yes,,,https://github.com/damb/mseed/commit/0cfede149eaae7b677a8cb3b1f1b21daf0965c22,
parity-db_1,parity-db,0.4.11,Rust,compress::tests::test_compression_interfaces,Foreign read in debug assertion within loop. Moving out of the loop fixes the issue,No,Yes,Yes,https://github.com/BurntSushi/rust-snappy/issues/56,https://github.com/BurntSushi/rust-snappy/pull/57,,
rsofa_1,rsofa,0.4.5,Bindings,tests::test_tpxev,"Binding generation used, but array arguments are captured as pointers, making it easy to pass a pointer to something with an incorrect item count.",Yes,No,Yes,,,,
secp256k1_1,secp256k1,0.28.0,Bindings,key::test::create_pubkey_combine,int used instead of size_t in manually written bindings,Yes,Yes,Yes,https://github.com/rust-bitcoin/rust-secp256k1/issues/669,https://github.com/rust-bitcoin/rust-secp256k1/pull/670,,
sgp4-rs_1,sgp4-rs,0.4.0,Mixed,tests::test_negative_time_propagation,Mutation of read-only pointer across FFI,No,No,Yes,https://github.com/nsat/sgp4-rs/issues/29,,,
special-fun_1,special-fun,0.2.0,Binding,cephes_double::shichi,"Incorrect return type, but these functions always return 0, so it doesn't matter.",No,Yes,Yes,https://github.com/vks/special-fun/issues/14,https://github.com/vks/special-fun/pull/13,https://github.com/vks/special-fun/commit/ded37f81122fdbd2471e70cad26c3d00a3e61b84,
speex-safe_1,speex-safe,0.6.0,Mixed,bits::test::creates_and_drops,"Partial initialization, but assumed initialized - Reserved padding field",Yes,Yes,Yes,,,,
spritz_cipher_1,spritz_cipher,0.1.0,Binding,spritz_cipher_missing_return,Missing return type,No,No,Yes,,https://github.com/tl8roy/spritz_cipher/pull/1,,
tectonic_engine_bibtex_1,tectonic_engine_bibtex,0.2.1,Mixed,c_api::xbuf::tests::test_grow,Reallocation of mutable borrow,Yes,Yes,Yes,,https://github.com/tectonic-typesetting/tectonic/pull/1129,,
parity-secp256k1_1,parity-secp256k1,0.7.0,Mixed,key::test::keypair_slice_round_trip,"Write through read-only pointer, possibly duplicated across fork",No,No,Yes,https://github.com/tetcoin/tetsy-secp256k1/issues/3,,,
tinyspline-sys_1,tinyspline-sys,0.2.0,Mixed,tests::interpolation,Missing call to C destructor,No,No,Yes,https://github.com/Jellonator/tinyspline-sys/issues/1,,,
tree-sitter-svelte_1,tree-sitter-svelte,0.10.2,Mixed,tree-sitter-svelte,"Missing call to C destructor, possibly duplicated across fork",No,No,Yes,https://github.com/Himujjal/tree-sitter-svelte/issues/46,,,
x42ltc-sys_1,x42ltc-sys,0.0.5,Mixed,ltc_decode_timecode_dot_raw,Missing call to C destructor,No,Yes,Yes,https://github.com/jmaibaum/x42ltc/issues/1,https://github.com/jmaibaum/x42ltc/pull/2,,
xxhrs_1,xxhrs,2.0.0,Mixed,tests::test_build_hasher,"Partial initialization, but assumed initialized - Reserved padding field",Yes,Yes,Yes,https://github.com/koraa/xxhrs/pull/10,,,
ytnef_1,ytnef,0.2.0,Mixed,tnef::test::new_from_file,Missing call to Box::from_raw(),No,No,Yes,https://github.com/alechussey/ytnef/issues/1,,,
zmq_1,zmq,0.10.0,Rust,test_z85,CString::into_raw() without from_raw(),No,Yes,Yes,https://github.com/erickt/rust-zmq/issues/387,https://github.com/erickt/rust-zmq/pull/388,,
