reason_name,reason
Opaque,0
FnPtr,1
Tuple,2
Str,3
Dyn,4
Slice,5
Num128Bit,6
Char,7
EnumNonExhaustive,8
EnumNonExhaustiveVariant,9
EnumNoRepresentation,10
StructFieldless,11
UnionFieldless,12
StructNonExhaustive,13
UnionNonExhaustive,14
StructLayout,15
UnionLayout,16
Box,17
StructZeroSized,18
Array,19
OnlyPhantomData,20
