crate_name,category,text,id,count
x11,foreign_functions,"xt::_XtAppStruct",5,1
x11,foreign_functions,"xmu::_XmuSegment",5,1
x11,foreign_functions,"xmu::_XmuArea",5,1
x11,foreign_functions,"xt::_WidgetRec",5,1
x11,foreign_functions,"xmu::_XmuScanline",5,1
x11,foreign_functions,"xmu::_XmuDisplayQueue",5,1
x11,foreign_functions,"xmu::_XmuDisplayQueueEntry",5,1
x11,foreign_functions,"xmu::_AtomRec",5,1
x11,foreign_functions,"xmu::_XmuWidgetNode",5,1
x11,foreign_functions,"xrandr::XRRScreenConfiguration",5,1
x11,foreign_functions,"xt::_XtActionsRec",5,1
x11,foreign_functions,"xt::_XtCallbackRec",5,1
x11,foreign_functions,"xt::XtConvertArgRec",5,1
x11,foreign_functions,"xt::Arg",5,1
x11,foreign_functions,"xt::_WidgetClassRec",5,1
x11,foreign_functions,"xt::_TranslationData",5,1
x11,foreign_functions,"xt::SubstitutionRec",5,1
x11,foreign_functions,"xt::_XtResource",5,1
x11,foreign_functions,"xt::XtWidgetGeometry",5,1
x11,foreign_functions,"xt::_XtCheckpointTokenRec",5,1
x11,static_items,"xmu::_AtomRec",5,1
asn1_der,rust_functions,"std::result::Result<(), std::fmt::Error>",5,1
asn1_der,rust_functions,"str",7,1
asn1_der,rust_functions,"[u8]",9,1
vk-rs,foreign_functions,"[f32; 4]",8,1
wascc-httpclient,rust_functions,"dyn codec::capabilities::CapabilityProvider",14,1
GSL-sys,foreign_functions,"auto::gsl_block_long_double_struct",5,1
GSL-sys,foreign_functions,"u128",3,1
GSL-sys,foreign_functions,"auto::gsl_block_complex_long_double_struct",5,1
GSL-sys,foreign_functions,"auto::gsl_block_struct",5,1
GSL-sys,foreign_functions,"auto::gsl_block_complex_struct",5,1
GSL-sys,foreign_functions,"auto::gsl_block_float_struct",5,1
GSL-sys,foreign_functions,"auto::gsl_block_complex_float_struct",5,1
GSL-sys,foreign_functions,"auto::gsl_block_ulong_struct",5,1
GSL-sys,foreign_functions,"auto::gsl_block_long_struct",5,1
GSL-sys,foreign_functions,"auto::gsl_block_uint_struct",5,1
GSL-sys,foreign_functions,"auto::gsl_block_int_struct",5,1
GSL-sys,foreign_functions,"auto::gsl_block_ushort_struct",5,1
GSL-sys,foreign_functions,"auto::gsl_block_short_struct",5,1
GSL-sys,foreign_functions,"auto::gsl_block_uchar_struct",5,1
GSL-sys,foreign_functions,"auto::gsl_block_char_struct",5,1
GSL-sys,foreign_functions,"auto::gsl_bspline_workspace",5,1
GSL-sys,foreign_functions,"auto::gsl_cheb_series_struct",5,1
GSL-sys,foreign_functions,"auto::gsl_eigen_symm_workspace",5,1
GSL-sys,foreign_functions,"auto::gsl_eigen_symmv_workspace",5,1
GSL-sys,foreign_functions,"auto::gsl_eigen_herm_workspace",5,1
GSL-sys,foreign_functions,"auto::gsl_eigen_hermv_workspace",5,1
GSL-sys,foreign_functions,"auto::gsl_eigen_francis_workspace",5,1
GSL-sys,foreign_functions,"auto::gsl_eigen_nonsymmv_workspace",5,1
GSL-sys,foreign_functions,"auto::gsl_eigen_gensymm_workspace",5,1
GSL-sys,foreign_functions,"auto::gsl_eigen_gensymmv_workspace",5,1
GSL-sys,foreign_functions,"auto::gsl_eigen_genherm_workspace",5,1
GSL-sys,foreign_functions,"auto::gsl_eigen_genhermv_workspace",5,1
GSL-sys,foreign_functions,"auto::gsl_eigen_gen_workspace",5,1
GSL-sys,foreign_functions,"auto::gsl_eigen_genv_workspace",5,1
GSL-sys,foreign_functions,"auto::gsl_fft_complex_workspace",5,1
