error_id,crate_name,version,test_name,error_type,error_text,full_error_text,passed_in_stack_borrows
839,vuln-reach,0.1.1,javascript::lang::accesses::tests::indexed_access,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE
839,vuln-reach,0.1.1,javascript::lang::accesses::tests::leaked_renamed_function,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE
839,vuln-reach,0.1.1,javascript::lang::accesses::tests::named_class,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE
839,vuln-reach,0.1.1,javascript::lang::accesses::tests::named_function,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE
839,vuln-reach,0.1.1,javascript::lang::accesses::tests::named_parenthesized_function,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE
839,vuln-reach,0.1.1,javascript::lang::accesses::tests::object_destructuring_assignment,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE
839,vuln-reach,0.1.1,javascript::lang::accesses::tests::parenthesized_variable,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE
839,vuln-reach,0.1.1,javascript::lang::accesses::tests::renamed_function,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE
839,vuln-reach,0.1.1,javascript::lang::accesses::tests::simple_const_declaration,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE
839,vuln-reach,0.1.1,javascript::lang::accesses::tests::simple_let_declaration,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","Undefined Behavior: using uninitialized data, but this operation requires initialized memory",FALSE
