crate_name,version,test_name,native_exit_code,exit_code_stack,exit_code_tree,error_type_stack,error_type_tree,full_error_text_stack,full_error_text_tree,num_duplicates
pkgcraft-tools,0.0.11,dep::compare::args,0,1,101,Unsupported Operation,Stack Overflow,unsupported operation: can't call foreign function `pipe2` on OS `linux`,4:fatal runtime error: stack overflow,1
pqcrypto-qtesla,0.1.1,qteslapi::test::test_sign,0,101,101,Test Failed,Test Failed,"test failed, to rerun pass `--lib`","test failed, to rerun pass `--lib`",1
pqcrypto-sphincsplus,0.6.4,sphincsshake256256frobust::test::test_sign,0,101,1,Test Failed,Unsupported Operation,"test failed, to rerun pass `--lib`",unsupported operation: can't call foreign function `PQCRYPTO_RUST_randombytes` on OS `linux`,1
pqcrypto-sphincsplus,0.6.4,sphincsshake256128frobust::test::test_sign,0,101,1,Test Failed,Unsupported Operation,"test failed, to rerun pass `--lib`",unsupported operation: can't call foreign function `PQCRYPTO_RUST_randombytes` on OS `linux`,1
satisfactory-save-file,0.2.0,tests::parse,0,101,101,Test Failed,Test Failed,"test failed, to rerun pass `--lib`","test failed, to rerun pass `--lib`",1
pqcrypto-mqdss,0.3.0,mqdss48::test::test_sign,0,101,1,Test Failed,Undefined Behavior,"test failed, to rerun pass `--lib`","incorrect number of arguments for `getrandom` syscall: got 1, expected at least 4",1
pqcrypto-sphincsplus,0.6.4,sphincsharaka128ssimple::test::test_sign,0,101,1,Test Failed,Unsupported Operation,"test failed, to rerun pass `--lib`",unsupported operation: can't call foreign function `PQCRYPTO_RUST_randombytes` on OS `linux`,1
pqcrypto-sphincsplus,0.6.4,sphincssha256256ssimple::test::test_sign_detached,0,101,124,Test Failed,Timeout,"test failed, to rerun pass `--lib`",NA,1
pqcrypto-sphincsplus,0.6.4,sphincsharaka192srobust::test::test_sign,0,101,124,Test Failed,Timeout,"test failed, to rerun pass `--lib`",NA,1
parquet,46.0.0,compression::tests::test_codec_lz4_raw,0,101,124,Test Failed,Timeout,"test failed, to rerun pass `--lib`",NA,1
pqcrypto-mqdss,0.3.0,mqdss64::test::test_sign_detached,0,101,101,Test Failed,Test Failed,"test failed, to rerun pass `--lib`","test failed, to rerun pass `--lib`",1
pqcrypto-qtesla,0.1.1,qteslapiii::test::test_sign,0,101,101,Test Failed,Test Failed,"test failed, to rerun pass `--lib`","test failed, to rerun pass `--lib`",1
rbx_binary,0.7.1,tests::serializer::part_color,0,1,101,Unsupported Operation,Stack Overflow,unsupported operation: can't call foreign function `pipe2` on OS `linux`,4:fatal runtime error: stack overflow,1
cifar_10_loader,0.2.0,test::test_cifar_10_loader_rs,0,1,101,Undefined Behavior,Stack Overflow,"trying to retag from <> for Unique permission at alloc[0x0], but that tag does not exist in the borrow stack for this location",266:fatal runtime error: stack overflow,1
pqcrypto-falcon-wasi,0.2.14,falcon512::test::test_sign,0,1,101,Unsupported Operation,Test Failed,unsupported operation: can't call foreign function `PQCRYPTO_RUST_randombytes` on OS `linux`,"test failed, to rerun pass `--lib`",1
pqcrypto-sphincsplus,0.6.4,ffi::test_sphincsharaka128frobust_clean::test_ffi,0,101,124,Test Failed,Timeout,"test failed, to rerun pass `--lib`",NA,1
pqcrypto-sphincsplus,0.6.4,sphincssha256128frobust::test::test_sign,0,101,124,Test Failed,Timeout,"test failed, to rerun pass `--lib`",NA,1
pqcrypto-sphincsplus,0.6.4,sphincssha256128ssimple::test::test_sign_detached,0,101,1,Test Failed,Unsupported Operation,"test failed, to rerun pass `--lib`",unsupported operation: can't call foreign function `PQCRYPTO_RUST_randombytes` on OS `linux`,1
spdkit,0.1.0,fingerprint::test_reorder_by_connect,0,1,101,Undefined Behavior,Stack Overflow,memory access failed: 0x7f2d9c91f868[noalloc] is a dangling pointer (it has no provenance),328:fatal runtime error: stack overflow,1
pqcrypto-dilithium,0.4.6,dilithium2::test::test_sign_detached,0,101,1,Test Failed,Unsupported Operation,"test failed, to rerun pass `--lib`",unsupported operation: can't call foreign function `PQCRYPTO_RUST_randombytes` on OS `linux`,1
pqcrypto-sphincsplus,0.6.4,ffi::test_sphincssha256128frobust_clean::test_ffi,0,101,101,Test Failed,Test Failed,"test failed, to rerun pass `--lib`","test failed, to rerun pass `--lib`",1
pqcrypto-falcon-wasi,0.2.14,falcon1024::test::test_sign_detached,0,101,1,Test Failed,Unsupported Operation,"test failed, to rerun pass `--lib`",unsupported operation: can't call foreign function `PQCRYPTO_RUST_randombytes` on OS `linux`,1
pqcrypto-sphincsplus,0.6.4,sphincssha256192frobust::test::test_sign,0,101,101,Test Failed,Test Failed,"test failed, to rerun pass `--lib`","test failed, to rerun pass `--lib`",1
pqcrypto-sphincsplus,0.6.4,sphincsshake256192frobust::test::test_sign,0,101,1,Test Failed,Unsupported Operation,"test failed, to rerun pass `--lib`",unsupported operation: can't call foreign function `PQCRYPTO_RUST_randombytes` on OS `linux`,1
pqcrypto-sphincsplus,0.6.4,sphincsharaka256ssimple::test::test_sign_detached,0,101,124,Test Failed,Timeout,"test failed, to rerun pass `--lib`",NA,1
snarkvm-parameters,0.14.6,testnet3::test_powers_of_beta_26_usrs,0,101,124,Test Failed,Timeout,"test failed, to rerun pass `--lib`",NA,1
pqcrypto-mqdss,0.3.0,ffi::test_mqdss64_clean::test_ffi,0,1,101,Undefined Behavior,Test Failed,"incorrect number of arguments for `getrandom` syscall: got 1, expected at least 4","test failed, to rerun pass `--lib`",1
pqcrypto-sphincsplus,0.6.4,sphincsshake256128ssimple::test::test_sign_detached,0,101,1,Test Failed,Unsupported Operation,"test failed, to rerun pass `--lib`",unsupported operation: can't call foreign function `PQCRYPTO_RUST_randombytes` on OS `linux`,1
pqcrypto-dilithium,0.4.6,ffi::test_dilithium3_clean::test_ffi,0,101,101,Test Failed,Test Failed,"test failed, to rerun pass `--lib`","test failed, to rerun pass `--lib`",1
pqcrypto-sphincsplus,0.6.4,sphincssha256192fsimple::test::test_sign,0,101,1,Test Failed,Unsupported Operation,"test failed, to rerun pass `--lib`",unsupported operation: can't call foreign function `PQCRYPTO_RUST_randombytes` on OS `linux`,1
rbx_binary,0.7.1,tests::serializer::migrated_properties,0,1,101,Unsupported Operation,Stack Overflow,unsupported operation: can't call foreign function `pipe2` on OS `linux`,4:fatal runtime error: stack overflow,1
klu-rs,0.4.0,test::solve_real_linear_system,0,101,1,Test Failed,Undefined Behavior,"test failed, to rerun pass `--lib`",write access through <> is forbidden,1
pqcrypto-qtesla,0.1.1,ffi::test_qteslapi_clean::test_ffi,0,101,101,Test Failed,Test Failed,"test failed, to rerun pass `--lib`","test failed, to rerun pass `--lib`",1
tpnote-lib,0.22.8,highlight::test::test_rust_source,0,101,101,Test Failed,Stack Overflow,"test failed, to rerun pass `--lib`",25:fatal runtime error: stack overflow,1
tpnote-lib,0.22.8,highlight::test::test_plain_text,0,1,101,Undefined Behavior,Stack Overflow,memory access failed: 0x10[noalloc] is a dangling pointer (it has no provenance),25:fatal runtime error: stack overflow,1
p256k1,5.4.1,field::tests::pow,0,101,101,Test Failed,Test Failed,"test failed, to rerun pass `--lib`","test failed, to rerun pass `--lib`",1
pqcrypto-dilithium,0.4.6,ffi::test_dilithium5_clean::test_ffi,0,1,101,Unsupported Operation,Test Failed,unsupported operation: can't call foreign function `PQCRYPTO_RUST_randombytes` on OS `linux`,"test failed, to rerun pass `--lib`",1
pqcrypto-sphincsplus,0.6.4,sphincssha256256frobust::test::test_sign_detached,0,101,1,Test Failed,Unsupported Operation,"test failed, to rerun pass `--lib`",unsupported operation: can't call foreign function `PQCRYPTO_RUST_randombytes` on OS `linux`,1
pqcrypto-dilithium,0.4.6,dilithium5::test::test_sign_detached,0,101,1,Test Failed,Unsupported Operation,"test failed, to rerun pass `--lib`",unsupported operation: can't call foreign function `PQCRYPTO_RUST_randombytes` on OS `linux`,1
pqcrypto-sphincsplus,0.6.4,sphincssha256128frobust::test::test_sign_detached,0,1,101,Unsupported Operation,Test Failed,unsupported operation: can't call foreign function `PQCRYPTO_RUST_randombytes` on OS `linux`,"test failed, to rerun pass `--lib`",1
pqcrypto-sphincsplus,0.6.4,sphincsharaka192ssimple::test::test_sign,0,101,1,Test Failed,Unsupported Operation,"test failed, to rerun pass `--lib`",unsupported operation: can't call foreign function `PQCRYPTO_RUST_randombytes` on OS `linux`,1
snarkvm-parameters,0.14.6,testnet3::test_shifted_powers_of_beta_26_usrs,0,101,124,Test Failed,Timeout,"test failed, to rerun pass `--lib`",NA,1
h3o,0.4.0,h3::get_directed_edge_destination::exhaustive_res2,0,101,124,Test Failed,Timeout,"test failed, to rerun pass `--test integration_tests`",NA,1
pkgcraft-tools,0.0.11,version::compare::args,0,1,101,Unsupported Operation,Stack Overflow,unsupported operation: can't call foreign function `pipe2` on OS `linux`,4:fatal runtime error: stack overflow,1
pqcrypto-sphincsplus,0.6.4,ffi::test_sphincsshake256256fsimple_clean::test_ffi,0,101,124,Test Failed,Timeout,"test failed, to rerun pass `--lib`",NA,1
pqcrypto-sphincsplus,0.6.4,sphincsshake256128srobust::test::test_sign_detached,0,101,124,Test Failed,Timeout,"test failed, to rerun pass `--lib`",NA,1
tpnote-lib,0.22.8,highlight::test::test_indented,0,101,101,Test Failed,Stack Overflow,"test failed, to rerun pass `--lib`",25:fatal runtime error: stack overflow,1
pkgcraft-tools,0.0.11,dep::parse::invalid,0,1,101,Unsupported Operation,Stack Overflow,unsupported operation: can't call foreign function `pipe2` on OS `linux`,4:fatal runtime error: stack overflow,1
pqcrypto-dilithium,0.4.6,dilithium3::test::test_sign,0,101,1,Test Failed,Unsupported Operation,"test failed, to rerun pass `--lib`",unsupported operation: can't call foreign function `PQCRYPTO_RUST_randombytes` on OS `linux`,1
pqcrypto-sphincsplus,0.6.4,ffi::test_sphincsharaka128ssimple_clean::test_ffi,0,101,124,Test Failed,Timeout,"test failed, to rerun pass `--lib`",NA,1
tab-hash,0.3.0,simple32_vs_reference_implementation,0,101,101,Test Failed,Test Failed,"test failed, to rerun pass `--test lib`","test failed, to rerun pass `--test lib`",1
clickhouse-driver-lz4,0.1.0,test::test_compression,0,101,101,Test Failed,Test Failed,"test failed, to rerun pass `--lib`","test failed, to rerun pass `--lib`",1
crymap,1.0.1,support::buffer::test::large_with_small_ops,0,1,101,Unsupported Operation,Stack Overflow,unsupported operation: can't call foreign function `EVP_aes_128_ctr` on OS `linux`,4:fatal runtime error: stack overflow,1
dply,0.2.0,group_by::summarize_list,0,1,101,Unsupported Operation,Stack Overflow,unsupported operation: can't call foreign function `fegetround` on OS `linux`,4:fatal runtime error: stack overflow,1
parquet2,0.17.2,read::lz4_legacy::test_lz4_large_file,0,0,101,NA,Stack Overflow,NA,26:fatal runtime error: stack overflow,1
pqcrypto-qtesla,0.1.1,ffi::test_qteslapiii_clean::test_ffi,0,1,101,Undefined Behavior,Test Failed,"incorrect number of arguments for `getrandom` syscall: got 1, expected at least 4","test failed, to rerun pass `--lib`",1
pqcrypto-sphincsplus,0.6.4,sphincsshake256256srobust::test::test_sign_detached,0,101,1,Test Failed,Unsupported Operation,"test failed, to rerun pass `--lib`",unsupported operation: can't call foreign function `PQCRYPTO_RUST_randombytes` on OS `linux`,1
pqcrypto-sphincsplus,0.6.4,ffi::test_sphincssha256192srobust_clean::test_ffi,0,101,1,Test Failed,Unsupported Operation,"test failed, to rerun pass `--lib`",unsupported operation: can't call foreign function `PQCRYPTO_RUST_randombytes` on OS `linux`,1
tpnote-lib,0.22.8,highlight::test::test_unkown_source,0,1,101,Undefined Behavior,Stack Overflow,memory access failed: 0x10[noalloc] is a dangling pointer (it has no provenance),25:fatal runtime error: stack overflow,1
pqcrypto-dilithium,0.4.6,dilithium5::test::test_sign,0,1,101,Unsupported Operation,Test Failed,unsupported operation: can't call foreign function `PQCRYPTO_RUST_randombytes` on OS `linux`,"test failed, to rerun pass `--lib`",1
pqcrypto-sphincsplus,0.6.4,ffi::test_sphincsshake256128ssimple_clean::test_ffi,0,101,1,Test Failed,Unsupported Operation,"test failed, to rerun pass `--lib`",unsupported operation: can't call foreign function `PQCRYPTO_RUST_randombytes` on OS `linux`,1
pqcrypto-sphincsplus,0.6.4,sphincsshake256256srobust::test::test_sign,0,101,1,Test Failed,Unsupported Operation,"test failed, to rerun pass `--lib`",unsupported operation: can't call foreign function `PQCRYPTO_RUST_randombytes` on OS `linux`,1
pqcrypto-mqdss,0.3.0,ffi::test_mqdss48_clean::test_ffi,0,101,1,Test Failed,Undefined Behavior,"test failed, to rerun pass `--lib`","incorrect number of arguments for `getrandom` syscall: got 1, expected at least 4",1
pqcrypto-sphincsplus,0.6.4,sphincsshake256192fsimple::test::test_sign_detached,0,101,1,Test Failed,Unsupported Operation,"test failed, to rerun pass `--lib`",unsupported operation: can't call foreign function `PQCRYPTO_RUST_randombytes` on OS `linux`,1
pqcrypto-sphincsplus,0.6.4,ffi::test_sphincsshake256128srobust_clean::test_ffi,0,101,1,Test Failed,Unsupported Operation,"test failed, to rerun pass `--lib`",unsupported operation: can't call foreign function `PQCRYPTO_RUST_randombytes` on OS `linux`,1
pqcrypto-sphincsplus,0.6.4,sphincsharaka128fsimple::test::test_sign_detached,0,101,124,Test Failed,Timeout,"test failed, to rerun pass `--lib`",NA,1
pkgcraft-tools,0.0.11,dep::parse::valid,0,1,101,Unsupported Operation,Stack Overflow,unsupported operation: can't call foreign function `pipe2` on OS `linux`,4:fatal runtime error: stack overflow,1
pqcrypto-dilithium,0.4.6,dilithium2aes::test::test_sign,0,101,1,Test Failed,Unsupported Operation,"test failed, to rerun pass `--lib`",unsupported operation: can't call foreign function `PQCRYPTO_RUST_randombytes` on OS `linux`,1
