crate_name,version,test_name,native_exit_code,exit_code_stack,exit_code_tree,error_type_stack,error_type_tree,full_error_text_stack,full_error_text_tree,num_duplicates
aigc_keychain,5.1.2,keychain::test::secret_key_addition,0,124,1,Timeout,Undefined Behavior,NA,"constructing invalid value at .value.0[0]: encountered uninitialized memory, but expected an integer",3
aigc_secp256k1zkp,0.7.12,tests::invalid_pubkey,0,124,1,Timeout,Undefined Behavior,NA,"constructing invalid value at .value.0[0]: encountered uninitialized memory, but expected an integer",3
aigc_secp256k1zkp,0.7.12,key::test::test_serialize_serde,0,124,1,Timeout,Undefined Behavior,NA,"constructing invalid value at .value.0[0]: encountered uninitialized memory, but expected an integer",13
aigc_secp256k1zkp,0.7.12,key::test::test_inverse,0,124,1,Timeout,Undefined Behavior,NA,"constructing invalid value at .value.0[0]: encountered uninitialized memory, but expected an integer",7
aigc_secp256k1zkp,0.7.12,pedersen::tests::commit_parse_ser,0,124,1,Timeout,Undefined Behavior,NA,"constructing invalid value at .value.0[0]: encountered uninitialized memory, but expected an integer",1
bdk_chain,0.5.0,test_list_owned_txouts,0,1,0,Undefined Behavior,NA,"attempting a read access using <> at alloc[0x8], but that tag does not exist in the borrow stack for this location",NA,1
bip351,0.4.0,tests::notifications_and_transacting,0,1,1,LLI interoperation error,LLI interoperation error,Rust type mismatch: cannot convert a Rust value of type i32 to an LLVM value of type i64.,Rust type mismatch: cannot convert a Rust value of type i32 to an LLVM value of type i64.,1
bip47,0.3.0,tests::test_payment_address_alice_side,0,1,1,Undefined Behavior,LLI interoperation error,"attempting a read access using <> at alloc[0x8], but that tag does not exist in the borrow stack for this location",Rust type mismatch: cannot convert a Rust value of type i32 to an LLVM value of type i64.,1
blosc2-src,0.1.1,floats_roundtrip,0,1,1,LLI interoperation error,LLI interoperation error,Unsupported LLVM Type: <16 x i8>,Unsupported LLVM Type: <16 x i8>,1
boreal,0.3.0,elf::test_coverage_elf32_sharedobj,0,1,1,Unsupported Operation,Undefined Behavior,unsupported operation: can't call foreign function `srand` on OS `linux`,"accessing memory with alignment 1, but alignment 16 is required",1
cashu,0.0.2,mint::test::becdh,0,1,1,LLI interoperation error,LLI interoperation error,Rust type mismatch: cannot convert a Rust value of type i32 to an LLVM value of type i64.,Rust type mismatch: cannot convert a Rust value of type i32 to an LLVM value of type i64.,1
casper-execution-engine,5.0.0,storage::trie_store::tests::proptests::prop_lmdb_roundtrip_succeeds_leaf,0,124,1,Timeout,Undefined Behavior,NA,"incorrect number of arguments for `open` with `O_CREAT`: got 2, expected at least 3",1
cat_solver,0.1.0,tests::decision_limit,0,1,1,Undefined Behavior,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","using uninitialized data, but this operation requires initialized memory",4
clickhouse-driver-lz4,0.1.0,test::test_decompression,0,1,1,Undefined Behavior,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","using uninitialized data, but this operation requires initialized memory",1
cpclib-asm,0.7.0,lzclose,0,1,1,Undefined Behavior,Undefined Behavior,memory access failed: 0x7f7b43681868[noalloc] is a dangling pointer (it has no provenance),memory access failed: 0x7f4a226f0868[noalloc] is a dangling pointer (it has no provenance),1
dec,0.4.8,test_standard_notation_dec_128,0,1,1,Undefined Behavior,Undefined Behavior,"using uninitialized data, but this operation requires initialized memory","using uninitialized data, but this operation requires initialized memory",6
dec-number-sys,0.0.25,test_dec_double_zero,0,1,1,LLI interoperation error,LLI interoperation error,"LLVM field count mismatch: cannot convert an LLVM value with 1 fields to a Rust value of type (), which has 0 fields.","LLVM field count mismatch: cannot convert an LLVM value with 1 fields to a Rust value of type (), which has 0 fields.",1
dec-number-sys,0.0.25,test_dec_number_zero,0,1,1,LLI interoperation error,LLI interoperation error,"LLVM field count mismatch: cannot convert an LLVM value with 1 fields to a Rust value of type (), which has 0 fields.","LLVM field count mismatch: cannot convert an LLVM value with 1 fields to a Rust value of type (), which has 0 fields.",1
