crate_name,version,test_name,native_exit_code,exit_code_stack,exit_code_tree,error_type_stack,error_type_tree,full_error_text_stack,full_error_text_tree,error_root_stack,error_root_tree,num_duplicates
digibyte,0.27.3,util::bip32::tests::test_vector_1,101,1,101,Undefined Behavior,Test Failed,"attempting a read access using <> at alloc[0x2c], but that tag does not exist in the borrow stack for this location","test failed, to rerun pass `--lib`","/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/secp256k1-sys-0.4.0/depend/secp256k1/src/scalar_4x64_impl.h:122:168,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/secp256k1-sys-0.4.0/depend/secp256k1/src/scalar_impl.h:64:5,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/secp256k1-sys-0.4.0/depend/secp256k1/src/secp256k1.c:526:11,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/secp256k1-sys-0.4.0/depend/secp256k1/src/secp256k1.c:544:11",NA,1
lzzzz,1.0.4,lz4f::dictionary::tests::create_dictionary,0,101,101,Test Failed,Test Failed,"test failed, to rerun pass `--lib`","test failed, to rerun pass `--lib`",NA,NA,1
bchlib,0.2.1,tests::test_decode,0,1,1,memory leaked,memory leaked,"alloc (C heap, size: 16, align: 16), allocated here:","alloc (C heap, size: 16, align: 16), allocated here:",NA,NA,1
libpicnic-sys,0.1.0+3.0.18,kats_picnic_l1_full,0,124,101,Timeout,Stack Overflow,2:LLVM ERROR: Inline assembly instruction not supported:,4:fatal runtime error: stack overflow,NA,NA,1
h3o,0.4.0,h3::cell_to_child_pos::exhaustive_res2,0,101,124,Test Failed,Timeout,"test failed, to rerun pass `--test integration_tests`",NA,NA,NA,1
tree-sitter-svelte,0.10.2,tests::can_load_grammar,0,1,1,memory leaked,memory leaked,"alloc (C heap, size: 24576, align: 16), allocated here:","alloc (C heap, size: 24576, align: 16), allocated here:",NA,NA,1
pcre2,0.2.4,bytes::tests::jit4lyfe,0,101,101,Test Failed,Test Failed,"test failed, to rerun pass `--lib`","test failed, to rerun pass `--lib`",NA,NA,1
libwebp,0.1.2,decode::tests::test_incr_yuva,0,1,101,Undefined Behavior,LLI Internal Error,"attempting a read access using <> at alloc[0x1], but that tag does not exist in the borrow stack for this location",2:LLVM ERROR: Inline assembly instruction not supported:,"/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/libwebp-sys2-0.1.9/c_src/src/dec/idec_dec.c:772:13,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/libwebp-sys2-0.1.9/c_src/src/dec/idec_dec.c:787:12",NA,1
pcre2,0.2.4,bytes::tests::max_jit_stack_size_does_something,0,101,101,Test Failed,Test Failed,"test failed, to rerun pass `--lib`","test failed, to rerun pass `--lib`",NA,NA,1
pcre2,0.2.4,bytes::tests::find_start_end_and_as_bytes,0,101,101,Test Failed,Test Failed,"test failed, to rerun pass `--lib`","test failed, to rerun pass `--lib`",NA,NA,1
apriltag-image,0.1.0,image_buf::tests::convert_image_buffer_vs_image,0,0,101,NA,Stack Overflow,NA,4:fatal runtime error: stack overflow,NA,NA,1
libpicnic-sys,0.1.0+3.0.18,kats_picnic_l5,0,124,101,Timeout,Stack Overflow,2:LLVM ERROR: Inline assembly instruction not supported:,4:fatal runtime error: stack overflow,NA,NA,1
bchlib,0.2.1,tests::test_sync_codeword,0,1,1,memory leaked,memory leaked,"alloc (C heap, size: 16, align: 16), allocated here:","alloc (C heap, size: 24, align: 16), allocated here:",NA,NA,1
minimp3_ex-sys,0.1.1,open_dummy_cb,0,1,1,memory leaked,memory leaked,"alloc (C heap, size: 131072, align: 16), allocated here:","alloc (C heap, size: 131072, align: 16), allocated here:",NA,NA,1
bchlib,0.2.1,tests::test_decode_err,0,1,1,memory leaked,memory leaked,"alloc (C heap, size: 24, align: 16), allocated here:","alloc (C heap, size: 5, align: 4), allocated here:",NA,NA,1
tinyspline-sys,0.2.0,tests::interpolation,0,1,1,memory leaked,memory leaked,"alloc (C heap, size: 256, align: 16), allocated here:","alloc (C heap, size: 256, align: 16), allocated here:",NA,NA,1
bchlib-sys,0.2.1,tests::it_works,0,1,1,memory leaked,memory leaked,"alloc (C heap, size: 4, align: 4), allocated here:","alloc (C heap, size: 24, align: 16), allocated here:",NA,NA,1
pcre2,0.2.4,bytes::tests::find_utf_emoji_as_bytes,0,101,101,Test Failed,Test Failed,"test failed, to rerun pass `--lib`","test failed, to rerun pass `--lib`",NA,NA,1
advocat,3.0.0,fetch::credentials::test::credentials_build_form_test,0,1,1,Undefined Behavior,Undefined Behavior,memory access failed: null pointer is a dangling pointer (it has no provenance),memory access failed: null pointer is a dangling pointer (it has no provenance),"/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/curl-sys-0.4.52+curl-7.81.0/curl/lib/formdata.c:249:16,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/curl-sys-0.4.52+curl-7.81.0/curl/lib/formdata.c:700:12","/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/curl-sys-0.4.52+curl-7.81.0/curl/lib/formdata.c:249:16,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/curl-sys-0.4.52+curl-7.81.0/curl/lib/formdata.c:700:12",1
aflak_imgui-sys,0.18.1,test_default_style,0,1,1,Undefined Behavior,Undefined Behavior,"accessing memory with alignment 1, but alignment 4 is required","accessing memory with alignment 1, but alignment 4 is required",src/lib.rs:2444:26,src/lib.rs:2444:26,1
aigc_secp256k1zkp,0.7.12,tests::signature_lax_der,0,1,1,Undefined Behavior,Undefined Behavior,"constructing invalid value at .value.0[0]: encountered uninitialized memory, but expected an integer","constructing invalid value at .value.0[0]: encountered uninitialized memory, but expected an integer",src/ffi.rs:117:42,src/ffi.rs:117:42,1
aigc_secp256k1zkp,0.7.12,ecdh::tests::ecdh,0,1,1,Undefined Behavior,Undefined Behavior,"constructing invalid value at .value.0[0]: encountered uninitialized memory, but expected an integer","constructing invalid value at .value.0[0]: encountered uninitialized memory, but expected an integer",src/ffi.rs:87:42,src/ffi.rs:87:42,1
aigc_secp256k1zkp,0.7.12,key::test::test_bad_serde_deserialize,0,1,1,Undefined Behavior,Undefined Behavior,"constructing invalid value at .value[0]: encountered uninitialized memory, but expected an integer","constructing invalid value at .value[0]: encountered uninitialized memory, but expected an integer",src/key.rs:356:82,src/key.rs:356:82,1
aigc_secp256k1zkp,0.7.12,key::test::test_bad_deserialize,0,1,1,Undefined Behavior,Undefined Behavior,"constructing invalid value at .value[0]: encountered uninitialized memory, but expected an integer","constructing invalid value at .value[0]: encountered uninitialized memory, but expected an integer",src/macros.rs:156:56,src/macros.rs:156:56,1
arcdps-imgui,0.8.0,context::test_set_log_filename,0,1,0,Undefined Behavior,NA,"attempting a read access using <> at alloc[0x0], but that tag does not exist in the borrow stack for this location",NA,/usr/src/ffickle/rust/library/core/src/ffi/c_str.rs:717:18,NA,2
arkiv,0.5.0,tar_bz2_archive,0,1,1,Undefined Behavior,Undefined Behavior,"attempting a read access using <> at alloc[0x8], but that tag does not exist in the borrow stack for this location",read access through <> is forbidden,"/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/bzip2-sys-0.1.11+1.0.8/bzip2-1.0.8/decompress.c:197:178,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/bzip2-sys-0.1.11+1.0.8/bzip2-1.0.8/bzlib.c:842:20","/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/bzip2-sys-0.1.11+1.0.8/bzip2-1.0.8/decompress.c:197:178,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/bzip2-sys-0.1.11+1.0.8/bzip2-1.0.8/bzlib.c:842:20",1
ast-grep-config,0.12.1,deserialize_env::test::test_local_util_matches,0,1,1,Undefined Behavior,Undefined Behavior,"memory access failed: alloc has size 10, so pointer to 1 byte starting at offset 10 is out-of-bounds","memory access failed: alloc has size 10, so pointer to 1 byte starting at offset 10 is out-of-bounds",/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/tree-sitter-0.20.10/src/language.c:80:8,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/tree-sitter-0.20.10/src/language.c:80:8,6
ast-grep-config,0.12.1,relational_rule::test::test_inside_field,0,1,1,Undefined Behavior,Undefined Behavior,"memory access failed: alloc has size 13, so pointer to 1 byte starting at offset 13 is out-of-bounds","memory access failed: alloc has size 13, so pointer to 1 byte starting at offset 13 is out-of-bounds",/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/tree-sitter-0.20.10/src/language.c:80:8,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/tree-sitter-0.20.10/src/language.c:80:8,1
ast-grep-config,0.12.1,constraints::test::test_non_serializable_kind,0,1,1,Undefined Behavior,Undefined Behavior,"memory access failed: alloc has size 15, so pointer to 1 byte starting at offset 15 is out-of-bounds","memory access failed: alloc has size 15, so pointer to 1 byte starting at offset 15 is out-of-bounds",/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/tree-sitter-0.20.10/src/language.c:80:8,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/tree-sitter-0.20.10/src/language.c:80:8,1
ast-grep-config,0.12.1,relational_rule::test::test_has_until_should_be_inclusive,0,1,1,Undefined Behavior,Undefined Behavior,"memory access failed: alloc has size 20, so pointer to 1 byte starting at offset 20 is out-of-bounds","memory access failed: alloc has size 20, so pointer to 1 byte starting at offset 20 is out-of-bounds",/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/tree-sitter-0.20.10/src/language.c:80:8,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/tree-sitter-0.20.10/src/language.c:80:8,3
ast-grep-core,0.12.1,matcher::kind::test::test_kind_potential_kinds,0,1,1,Undefined Behavior,Undefined Behavior,"memory access failed: alloc has size 16, so pointer to 1 byte starting at offset 16 is out-of-bounds","memory access failed: alloc has size 16, so pointer to 1 byte starting at offset 16 is out-of-bounds",/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/tree-sitter-0.20.10/src/language.c:80:8,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/tree-sitter-0.20.10/src/language.c:80:8,1
atms,0.1.0,multi_sig::tests::serde_sig,0,1,1,Undefined Behavior,Unsupported Operation,"attempting a read access using <> at alloc[0x1], but that tag does not exist in the borrow stack for this location",unsupported operation: can't call foreign function `add_mod_384` on OS `linux`,"/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/blst-0.3.7/blst/src/vect.h:231:16,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/blst-0.3.7/blst/src/e2.c:322:40,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/blst-0.3.7/blst/src/e2.c:343:10","/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/blst-0.3.7/blst/src/fields.h:17:3,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/blst-0.3.7/blst/src/e2.c:290:5,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/blst-0.3.7/blst/src/e2.c:330:16,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/blst-0.3.7/blst/src/e2.c:396:16,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/blst-0.3.7/blst/src/e2.c:410:10",1
bad64,0.6.0,testcases,0,1,1,Undefined Behavior,Undefined Behavior,"memory access failed: alloc has size 16, so pointer to 4 bytes starting at offset 16 is out-of-bounds","memory access failed: alloc has size 16, so pointer to 4 bytes starting at offset 16 is out-of-bounds","/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/bad64-sys-0.5.0/arch-arm64/disassembler/decode_scratchpad.c:10581:23,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/bad64-sys-0.5.0/arch-arm64/disassembler/decode.c:38:9","/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/bad64-sys-0.5.0/arch-arm64/disassembler/decode_scratchpad.c:10581:23,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/bad64-sys-0.5.0/arch-arm64/disassembler/decode.c:38:9",1
bip322-simple,0.3.1,tests::test_base64_encoded_signature,0,1,0,Undefined Behavior,NA,"attempting a read access using <> at alloc[0x140], but that tag does not exist in the borrow stack for this location",NA,"/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/secp256k1-sys-0.8.1/depend/secp256k1/src/scalar_4x64_impl.h:136:93,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/secp256k1-sys-0.8.1/depend/secp256k1/src/scalar_impl.h:36:5,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/secp256k1-sys-0.8.1/depend/secp256k1/src/secp256k1.c:456:20,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/secp256k1-sys-0.8.1/depend/secp256k1/src/secp256k1.c:504:11",NA,2
