crate_name,version,test_name,native_exit_code,exit_code_stack,exit_code_tree,error_type_stack,error_type_tree,error_text_stack,error_text_tree,actual_failure_stack,actual_failure_tree,exit_signal_no_stack,exit_signal_no_tree,shared,num_duplicates
rustsat-kissat,0.1.1,test::configure,0,1,1,Undefined Behavior,Undefined Behavior,memory access failed: 0x7f6564ced868[noalloc] is a dangling pointer (it has no provenance),memory access failed: 0x7f8de51bb868[noalloc] is a dangling pointer (it has no provenance),FALSE,FALSE,NA,NA,TRUE,1
rustsat-kissat,0.1.1,test::options,0,1,1,Undefined Behavior,Undefined Behavior,memory access failed: 0x7f7cb51a9868[noalloc] is a dangling pointer (it has no provenance),memory access failed: 0x7fc23efa3868[noalloc] is a dangling pointer (it has no provenance),FALSE,FALSE,NA,NA,TRUE,1
rustsat-kissat,0.1.1,sat_small_sat,0,1,1,Undefined Behavior,Undefined Behavior,memory access failed: 0x7f8a812b1868[noalloc] is a dangling pointer (it has no provenance),memory access failed: 0x7f3cc1d39868[noalloc] is a dangling pointer (it has no provenance),FALSE,FALSE,NA,NA,TRUE,1
rustsat-kissat,0.1.1,unsat_small_unsat,0,1,1,Undefined Behavior,Undefined Behavior,memory access failed: 0x7f9b5e694868[noalloc] is a dangling pointer (it has no provenance),memory access failed: 0x7f1ff4197868[noalloc] is a dangling pointer (it has no provenance),FALSE,FALSE,NA,NA,TRUE,1
rustsat-kissat,0.1.1,small_sat,0,1,1,Undefined Behavior,Undefined Behavior,memory access failed: 0x7fac621cd868[noalloc] is a dangling pointer (it has no provenance),memory access failed: 0x7f5bdc284868[noalloc] is a dangling pointer (it has no provenance),FALSE,FALSE,NA,NA,TRUE,1
rustsat-kissat,0.1.1,test::limit,0,1,1,Undefined Behavior,Undefined Behavior,memory access failed: 0x7fc2f01c1868[noalloc] is a dangling pointer (it has no provenance),memory access failed: 0x7f8961221868[noalloc] is a dangling pointer (it has no provenance),FALSE,FALSE,NA,NA,TRUE,1
rustsat-kissat,0.1.1,test::build_two,0,1,1,Undefined Behavior,Undefined Behavior,memory access failed: 0x7fc33da35868[noalloc] is a dangling pointer (it has no provenance),memory access failed: 0x7f2175a6e868[noalloc] is a dangling pointer (it has no provenance),FALSE,FALSE,NA,NA,TRUE,1
rustsat-kissat,0.1.1,unsat_small_sat,0,1,1,Undefined Behavior,Undefined Behavior,memory access failed: 0x7fd90b0f5868[noalloc] is a dangling pointer (it has no provenance),memory access failed: 0x7fe258e2b868[noalloc] is a dangling pointer (it has no provenance),FALSE,FALSE,NA,NA,TRUE,1
rustsat-kissat,0.1.1,sat_small_unsat,0,1,1,Undefined Behavior,Undefined Behavior,memory access failed: 0x7fe46e243868[noalloc] is a dangling pointer (it has no provenance),memory access failed: 0x7f2a18df6868[noalloc] is a dangling pointer (it has no provenance),FALSE,FALSE,NA,NA,TRUE,1
selenite,0.6.0,tests::it_works,0,1,1,Undefined Behavior,Undefined Behavior,"incorrect number of arguments for `getrandom` syscall: got 1, expected at least 4","incorrect number of arguments for `getrandom` syscall: got 1, expected at least 4",FALSE,FALSE,NA,NA,TRUE,3
selenite,0.6.0,tests::get_keypair_size,0,1,1,Undefined Behavior,Undefined Behavior,"incorrect number of arguments for `getrandom` syscall: got 1, expected at least 4","incorrect number of arguments for `getrandom` syscall: got 1, expected at least 4",FALSE,FALSE,NA,NA,TRUE,5
smalloca,0.1.0,tests::dyn_smalloca_test,0,1,1,Undefined Behavior,Undefined Behavior,"accessing memory with alignment 1, but alignment 8 is required","accessing memory with alignment 1, but alignment 8 is required",FALSE,FALSE,NA,NA,TRUE,1
spdkit,0.1.0,fingerprint::test_molecule_fingerprint,0,1,1,Undefined Behavior,Undefined Behavior,memory access failed: 0x7ff0d963a868[noalloc] is a dangling pointer (it has no provenance),memory access failed: 0x7f51ca18e868[noalloc] is a dangling pointer (it has no provenance),FALSE,FALSE,NA,NA,TRUE,1
spdkit-nauty,0.1.1,test_nauty,0,1,1,Undefined Behavior,Undefined Behavior,memory access failed: 0x7fab3c681868[noalloc] is a dangling pointer (it has no provenance),memory access failed: 0x7f34fbc6d868[noalloc] is a dangling pointer (it has no provenance),FALSE,FALSE,NA,NA,TRUE,1
spdkit-nauty,0.1.1,nauty::test_nauty_labels,0,1,1,Undefined Behavior,Undefined Behavior,memory access failed: 0x7fca70716868[noalloc] is a dangling pointer (it has no provenance),memory access failed: 0x7fe19e621868[noalloc] is a dangling pointer (it has no provenance),FALSE,FALSE,NA,NA,TRUE,1
sway-ir,0.46.0,constants,0,1,1,Undefined Behavior,Undefined Behavior,"accessing memory with alignment 1, but alignment 16 is required","accessing memory with alignment 1, but alignment 16 is required",FALSE,FALSE,NA,NA,FALSE,1
vtkio,0.6.3,hexahedron_lzma_pvtu,0,1,1,Undefined Behavior,Undefined Behavior,"accessing memory with alignment 1, but alignment 16 is required","accessing memory with alignment 1, but alignment 16 is required",FALSE,FALSE,NA,NA,FALSE,1
webp-animation,0.8.0,webp_data::tests::test_encoder,0,1,1,Undefined Behavior,Undefined Behavior,dereferencing pointer failed: null pointer is a dangling pointer (it has no provenance),dereferencing pointer failed: null pointer is a dangling pointer (it has no provenance),FALSE,FALSE,NA,NA,FALSE,1
webp-animation,0.8.0,decoder::tests::test_decoder_success,0,1,1,Undefined Behavior,Undefined Behavior,"reading memory at alloc[0x18..0x1c], but memory is uninitialized at [0x18..0x1c], and this operation requires initialized memory","reading memory at alloc[0x18..0x1c], but memory is uninitialized at [0x18..0x1c], and this operation requires initialized memory",FALSE,FALSE,NA,NA,TRUE,2
yatima-core,0.1.1,literal::tests::test_expand,0,1,0,Undefined Behavior,Passed/Timeout,"trying to retag from <> for SharedReadOnly permission at alloc[0x0], but that tag does not exist in the borrow stack for this location",NA,FALSE,FALSE,NA,NA,FALSE,1
