crate_name,version
aws-lc-rs,1.0.1
aws-lc-sys,0.6.0
aws-nitro-enclaves-attestation,0.1.0
aws-nitro-enclaves-cose,0.5.0
aws-nitro-enclaves-image-format,0.2.0
aws-sdk-rust,0.1.42
aws-smithy-types,0.55.2
axum-sessions,0.5.0
aya,0.11.0
aya-rustc-llvm-proxy,0.5.0
az-snp-vtpm,0.2.1
azalea-crypto,0.6.0
azservicebus,0.1.2
azul-webrender,0.62.2
azure_core,0.11.0
azure_core_mirror,0.3.0
azure_identity,0.11.0
b3sum,1.3.3
b64,0.4.0
b64-ct,0.1.1
babyjubjub-rs,0.0.10
bach,0.0.6
backoff,0.4.0
backoff-rs,0.1.0
backon,0.4.0
backtrace,0.3.67
backtrace-ext,0.2.1
bacon-sci,0.13.1
bad64,0.6.0
baid58,0.3.1
ballista-core,0.11.0
bam,0.1.4
bao,0.12.1
bao-tree,0.3.1
barretenberg-sys,0.1.3
base-x,0.2.11
base16,0.2.1
base32,0.4.0
base62,2.0.2
base64,0.21.0
base64-compat,1.0.0
base64-simd,0.8.0
base85rs,0.1.2
basis-universal,0.2.0
basis-universal-sys,0.2.0
bastion,0.4.5
bastion-executor,0.4.2
bat,0.23.0
battery,0.7.8
bayer,0.1.5
bbggez,1.1.0
bbs,0.4.1
bcc,0.0.33
bcc-sys,0.23.0
bcmp,0.4.1
bdk,0.28.0
bee-ternary,1.0.0
bellman,0.14.0
bellman_ce,0.3.5
bellperson,0.25.0
below-btrfs,0.6.3
below-store,0.6.3
below-view,0.6.3
bevy,0.10.1
bevy-glsl-to-spirv,0.2.1
bevy_app,0.10.1
bevy_ascii_terminal,0.12.4
bevy_asset,0.10.1
bevy_ecs,0.10.1
bevy_ecs_ldtk,0.7.0
bevy_egui,0.20.3
bevy_embedded_assets,0.7.0
bevy_ggrs,0.12.0
bevy_hanabi,0.6.1
bevy_pancam,0.8.0
bevy_pathmesh,0.4.0
bevy_pkv,0.7.0
bevy_quinnet,0.4.0
bevy_render,0.10.1
bevy_turborand,0.5.0
bgzip,0.3.1
big-brain,0.17.0
bigint,4.4.3
bigtools,0.1.11
billboard,0.2.0
binary-ff1,0.2.0
binary-heap-plus,0.5.0
binary-install,0.1.0
binary-layout,3.1.3
binary-space-partition,0.1.2
binaryen,0.12.1
binaryen-sys,0.12.0
bincode,2.0.0-rc.3
bindle,0.9.1
binggpt,0.1.5
binocle,0.3.1
binstalk,0.12.0
binstall-tar,0.4.39
binutils,0.1.1
bio,1.1.0
biodivine-hctl-model-checker,0.1.2
biosphere,0.3.0
bip0039,0.11.0
bip39,2.0.0
bip_handshake,0.7.1
bip_metainfo,0.12.0
bip_util,0.5.0
birdcage,0.2.1
biscuit-auth,3.1.0
bit-array,0.4.4
bit-set,0.5.3
bit-vec,0.6.3
bitar,0.11.0
bitarray-set,0.4.1
