name,count
core-foundation-sys,3
wasi,1
backtrace,2
libz-sys,3
zstd-sys,72
security-framework-sys,13
libc,14
blake3,4
xattr,3
mach,16
security-framework,1
fuchsia-cprng,1
errno-dragonfly,1
stdweb,938
libssh2-sys,1
nanorand,1
libnghttp2-sys,149
napi-sys,1
openssl-sys,365
lz4-sys,1
