error_text,n
can't call foreign function `randombytes_uniform` on OS `linux`,4
can't call foreign function `randomx_get_flags` on OS `linux`,4
can't call foreign function `rocksdb_readoptions_create` on OS `linux`,4
can't call foreign function `rocksdb_writebatch_create` on OS `linux`,4
can't call foreign function `sigaction` on OS `linux`,4
can't call foreign function `signal_buffer_alloc` on OS `linux`,4
can't call foreign function `unshare` on OS `linux`,4
can't call foreign function `blake3_hash_many_sse2` on OS `linux`,3
can't call foreign function `dgetrf_` on OS `linux`,3
can't call foreign function `esaxx_int32` on OS `linux`,3
can't call foreign function `fchmod` on OS `linux`,3
can't call foreign function `lgamma_r` on OS `linux`,3
can't call foreign function `llvm.x86.sse2.psrl.q` on OS `linux`,3
can't call foreign function `mknod` on OS `linux`,3
can't call foreign function `newlocale` on OS `linux`,3
can't call foreign function `qsort` on OS `linux`,3
can't call foreign function `snappy_uncompressed_length` on OS `linux`,3
can't call foreign function `snprintf` on OS `linux`,3
can't call foreign function `srand` on OS `linux`,3
can't call foreign function `strrchr` on OS `linux`,3
can't call foreign function `tree_sitter_norg_external_scanner_create` on OS `linux`,3
can't call foreign function `ts_record_calloc` on OS `linux`,3
can't call foreign function `ucal_openTimeZoneIDEnumeration_72` on OS `linux`,3
can't call foreign function `uplrules_openForType_72` on OS `linux`,3
can't call foreign function `uplrules_open_72` on OS `linux`,3
can't call foreign function `LLVMInitializeX86TargetInfo` on OS `linux`,2
can't call foreign function `OBJ_create` on OS `linux`,2
can't call foreign function `PHYSFS_init` on OS `linux`,2
can't call foreign function `add_mod_256` on OS `linux`,2
can't call foreign function `ats_int` on OS `linux`,2
can't call foreign function `cabs` on OS `linux`,2
can't call foreign function `crypto_hash_sha512` on OS `linux`,2
can't call foreign function `get_nprocs` on OS `linux`,2
can't call foreign function `grpc_empty_slice` on OS `linux`,2
can't call foreign function `grpc_slice_new_with_len` on OS `linux`,2
can't call foreign function `grpcwrap_metadata_array_init` on OS `linux`,2
can't call foreign function `initscr` on OS `linux`,2
can't call foreign function `log` on OS `linux`,2
can't call foreign function `mkfifo` on OS `linux`,2
can't call foreign function `randombytes_buf` on OS `linux`,2
can't call foreign function `rd_kafka_headers_new` on OS `linux`,2
can't call foreign function `rocksdb_slicetransform_create` on OS `linux`,2
can't call foreign function `rust_getenv` on OS `linux`,2
can't call foreign function `snappy_max_compressed_length` on OS `linux`,2
can't call foreign function `strpbrk` on OS `linux`,2
can't call foreign function `tree_sitter_ccomment_external_scanner_create` on OS `linux`,2
can't call foreign function `tree_sitter_html_external_scanner_create` on OS `linux`,2
can't call foreign function `ucal_getDefaultTimeZone_72` on OS `linux`,2
can't call foreign function `ulistfmt_open_72` on OS `linux`,2
can't call foreign function `umask` on OS `linux`,2
can't call foreign function `unorm2_getNFKCCasefoldInstance_72` on OS `linux`,2
can't call foreign function `utrans_openIDs_72` on OS `linux`,2
can't execute syscall with ID 206,2
can't execute syscall with ID 316,2
`extern` static `blst,1
can't call foreign function `_Z12CityHash64_1PKcm` on OS `linux`,1
can't call foreign function `_Z13CityHash128_1PKcm` on OS `linux`,1
can't call foreign function `BIO_s_mem` on OS `linux`,1
can't call foreign function `ENGINE_load_builtin_engines` on OS `linux`,1
can't call foreign function `EVP_aes_128_ctr` on OS `linux`,1
can't call foreign function `KeccakF1600` on OS `linux`,1
can't call foreign function `MicroProfileInit` on OS `linux`,1
can't call foreign function `TF_NewBuffer` on OS `linux`,1
can't call foreign function `VW_InitializeA` on OS `linux`,1
can't call foreign function `__ctype_tolower_loc` on OS `linux`,1
can't call foreign function `__itt_pause_init_3_0` on OS `linux`,1
can't call foreign function `at_grad_set_enabled` on OS `linux`,1
can't call foreign function `at_manual_seed` on OS `linux`,1
can't call foreign function `ats_float` on OS `linux`,1
can't call foreign function `cblas_dgemv` on OS `linux`,1
can't call foreign function `check_aesni` on OS `linux`,1
can't call foreign function `clock` on OS `linux`,1
can't call foreign function `cmaxpre_init_start` on OS `linux`,1
can't call foreign function `crypto_box_seal` on OS `linux`,1
can't call foreign function `crypto_sign_ed25519_detached` on OS `linux`,1
can't call foreign function `crypto_sign_ed25519` on OS `linux`,1
can't call foreign function `ctr_cpp_std_ffi_std_basic_string_char_std_char_traits_char_std_allocator_char_basic_string13` on OS `linux`,1
can't call foreign function `ctr_cpp_std_ffi_std_basic_string_char_std_char_traits_char_std_allocator_char_basic_string` on OS `linux`,1
can't call foreign function `ctr_cpp_std_ffi_std_vector_int32_t_std_allocator_int32_t_vector` on OS `linux`,1
can't call foreign function `ctr_cpp_std_ffi_std_vector_int64_t_std_allocator_int64_t_vector11` on OS `linux`,1
can't call foreign function `ctr_cpp_std_ffi_std_vector_int_std_allocator_int_vector` on OS `linux`,1
can't call foreign function `default_thermal_config` on OS `linux`,1
can't call foreign function `deflateInit2_` on OS `linux`,1
can't call foreign function `getpwnam` on OS `linux`,1
can't call foreign function `getpwuid` on OS `linux`,1
can't call foreign function `gmtime_r` on OS `linux`,1
can't call foreign function `hand_indexer_init` on OS `linux`,1
can't call foreign function `isblank` on OS `linux`,1
can't call foreign function `isspace` on OS `linux`,1
can't call foreign function `nl_langinfo` on OS `linux`,1
can't call foreign function `oead$yaz0$cxxbridge1$Compress` on OS `linux`,1
can't call foreign function `parallel_close` on OS `linux`,1
can't call foreign function `powf` on OS `linux`,1
can't call foreign function `qpdf_get_qpdf_version` on OS `linux`,1
can't call foreign function `queue_init` on OS `linux`,1
can't call foreign function `readdir` on OS `linux`,1
can't call foreign function `sodium_mlock` on OS `linux`,1
can't call foreign function `sq_open` on OS `linux`,1
can't call foreign function `sqrx_mont_384` on OS `linux`,1
can't call foreign function `sqrx_mont_384x` on OS `linux`,1
can't call foreign function `stat` on OS `linux`,1
can't call foreign function `statfs64` on OS `linux`,1
can't call foreign function `strncat` on OS `linux`,1
can't call foreign function `strstr` on OS `linux`,1
can't call foreign function `tree_sitter_beancount_external_scanner_create` on OS `linux`,1
can't call foreign function `tree_sitter_elixir_external_scanner_create` on OS `linux`,1
can't call foreign function `tree_sitter_elm_external_scanner_create` on OS `linux`,1
can't call foreign function `tree_sitter_foam_external_scanner_create` on OS `linux`,1
can't call foreign function `tree_sitter_hlsl_external_scanner_create` on OS `linux`,1
can't call foreign function `tree_sitter_markdown_external_scanner_create` on OS `linux`,1
can't call foreign function `tree_sitter_ocaml_external_scanner_create` on OS `linux`,1
can't call foreign function `tree_sitter_org_external_scanner_create` on OS `linux`,1
can't call foreign function `tree_sitter_poweron_external_scanner_create` on OS `linux`,1
can't call foreign function `tree_sitter_preproc_external_scanner_create` on OS `linux`,1
can't call foreign function `tree_sitter_ruby_external_scanner_create` on OS `linux`,1
can't call foreign function `tree_sitter_rust` on OS `linux`,1
can't call foreign function `tree_sitter_sql_bigquery_external_scanner_create` on OS `linux`,1
can't call foreign function `tree_sitter_vue_external_scanner_create` on OS `linux`,1
can't call foreign function `tree_sitter_wdl_external_scanner_create` on OS `linux`,1
can't call foreign function `tree_sitter_yaml_external_scanner_create` on OS `linux`,1
can't call foreign function `tzset` on OS `linux`,1
can't call foreign function `u_charFromName_72` on OS `linux`,1
can't call foreign function `u_charType_72` on OS `linux`,1
can't call foreign function `u_getCombiningClass_72` on OS `linux`,1
can't call foreign function `u_init_72` on OS `linux`,1
can't call foreign function `ubrk_countAvailable_72` on OS `linux`,1
can't call foreign function `ucal_getNow_72` on OS `linux`,1
can't call foreign function `ucal_getTZDataVersion_72` on OS `linux`,1
can't call foreign function `ucal_openCountryTimeZones_72` on OS `linux`,1
can't call foreign function `ucal_openTimeZones_72` on OS `linux`,1
can't call foreign function `ucnv_countAliases_72` on OS `linux`,1
can't call foreign function `ucnv_countAvailable_72` on OS `linux`,1
can't call foreign function `ucol_openAvailableLocales_72` on OS `linux`,1
can't call foreign function `uenum_openCharStringsEnumeration_72` on OS `linux`,1
can't call foreign function `ufmt_open_72` on OS `linux`,1
can't call foreign function `uloc_toLegacyKey_72` on OS `linux`,1
can't call foreign function `uloc_toUnicodeLocaleKey_72` on OS `linux`,1
can't call foreign function `uloc_toUnicodeLocaleType_72` on OS `linux`,1
can't call foreign function `unorm2_getNFDInstance_72` on OS `linux`,1
can't call foreign function `unorm2_getNFKCInstance_72` on OS `linux`,1
can't call foreign function `unum_countAvailable_72` on OS `linux`,1
can't call foreign function `utext_openUTF8_72` on OS `linux`,1
can't call foreign function `utimes` on OS `linux`,1
can't call foreign function `zmq_ctx_new` on OS `linux`,1
can't call foreign function `zng_inflateInit2_` on OS `linux`,1
the 0x7 command is not supported for `fcntl`),1
