crate_name,test_name,full_error_text,error_type,error_text,error_subtext,error_root
tree-sitter-ebnf,tests::test_can_load_grammar,internal compiler error: /usr/src/ffickle/rust/compiler/rustc_const_eval/src/interpret/operand.rs:77:42: Got a scalar pair where a scalar was expected,internal compiler error,/usr/src/ffickle/rust/compiler/rustc_const_eval/src/interpret/operand.rs,77,NA
tree-sitter-elisp,tests::test_can_load_grammar,internal compiler error: /usr/src/ffickle/rust/compiler/rustc_const_eval/src/interpret/operand.rs:77:42: Got a scalar pair where a scalar was expected,internal compiler error,/usr/src/ffickle/rust/compiler/rustc_const_eval/src/interpret/operand.rs,77,NA
tree-sitter-elsa,tests::test_can_load_grammar,internal compiler error: /usr/src/ffickle/rust/compiler/rustc_const_eval/src/interpret/operand.rs:77:42: Got a scalar pair where a scalar was expected,internal compiler error,/usr/src/ffickle/rust/compiler/rustc_const_eval/src/interpret/operand.rs,77,NA
tree-sitter-embedded-template,tests::can_load_grammar,internal compiler error: /usr/src/ffickle/rust/compiler/rustc_const_eval/src/interpret/operand.rs:77:42: Got a scalar pair where a scalar was expected,internal compiler error,/usr/src/ffickle/rust/compiler/rustc_const_eval/src/interpret/operand.rs,77,NA
tree-sitter-erlang,tests::test_can_load_grammar,internal compiler error: /usr/src/ffickle/rust/compiler/rustc_const_eval/src/interpret/operand.rs:77:42: Got a scalar pair where a scalar was expected,internal compiler error,/usr/src/ffickle/rust/compiler/rustc_const_eval/src/interpret/operand.rs,77,NA
tree-sitter-func,tests::test_can_load_grammar,internal compiler error: /usr/src/ffickle/rust/compiler/rustc_const_eval/src/interpret/operand.rs:77:42: Got a scalar pair where a scalar was expected,internal compiler error,/usr/src/ffickle/rust/compiler/rustc_const_eval/src/interpret/operand.rs,77,NA
tree-sitter-gitcommit,tests::test_can_load_grammar,internal compiler error: /usr/src/ffickle/rust/compiler/rustc_const_eval/src/interpret/operand.rs:77:42: Got a scalar pair where a scalar was expected,internal compiler error,/usr/src/ffickle/rust/compiler/rustc_const_eval/src/interpret/operand.rs,77,NA
tree-sitter-glsl,tests::test_can_load_grammar,internal compiler error: /usr/src/ffickle/rust/compiler/rustc_const_eval/src/interpret/operand.rs:77:42: Got a scalar pair where a scalar was expected,internal compiler error,/usr/src/ffickle/rust/compiler/rustc_const_eval/src/interpret/operand.rs,77,NA
tree-sitter-go,tests::can_load_grammar,internal compiler error: /usr/src/ffickle/rust/compiler/rustc_const_eval/src/interpret/operand.rs:77:42: Got a scalar pair where a scalar was expected,internal compiler error,/usr/src/ffickle/rust/compiler/rustc_const_eval/src/interpret/operand.rs,77,NA
tree-sitter-go-sum,tests::test_can_load_grammar,internal compiler error: /usr/src/ffickle/rust/compiler/rustc_const_eval/src/interpret/operand.rs:77:42: Got a scalar pair where a scalar was expected,internal compiler error,/usr/src/ffickle/rust/compiler/rustc_const_eval/src/interpret/operand.rs,77,NA
tree-sitter-hare,tests::test_can_load_grammar,internal compiler error: /usr/src/ffickle/rust/compiler/rustc_const_eval/src/interpret/operand.rs:77:42: Got a scalar pair where a scalar was expected,internal compiler error,/usr/src/ffickle/rust/compiler/rustc_const_eval/src/interpret/operand.rs,77,NA
tree-sitter-hexdump,tests::test_can_load_grammar,internal compiler error: /usr/src/ffickle/rust/compiler/rustc_const_eval/src/interpret/operand.rs:77:42: Got a scalar pair where a scalar was expected,internal compiler error,/usr/src/ffickle/rust/compiler/rustc_const_eval/src/interpret/operand.rs,77,NA
tree-sitter-ic10,tests::test_can_load_grammar,internal compiler error: /usr/src/ffickle/rust/compiler/rustc_const_eval/src/interpret/operand.rs:77:42: Got a scalar pair where a scalar was expected,internal compiler error,/usr/src/ffickle/rust/compiler/rustc_const_eval/src/interpret/operand.rs,77,NA
tree-sitter-icelang,tests::test_can_load_grammar,internal compiler error: /usr/src/ffickle/rust/compiler/rustc_const_eval/src/interpret/operand.rs:77:42: Got a scalar pair where a scalar was expected,internal compiler error,/usr/src/ffickle/rust/compiler/rustc_const_eval/src/interpret/operand.rs,77,NA
tree-sitter-integerbasic,tests::test_can_load_grammar,internal compiler error: /usr/src/ffickle/rust/compiler/rustc_const_eval/src/interpret/operand.rs:77:42: Got a scalar pair where a scalar was expected,internal compiler error,/usr/src/ffickle/rust/compiler/rustc_const_eval/src/interpret/operand.rs,77,NA
tree-sitter-ispc,tests::test_can_load_grammar,internal compiler error: /usr/src/ffickle/rust/compiler/rustc_const_eval/src/interpret/operand.rs:77:42: Got a scalar pair where a scalar was expected,internal compiler error,/usr/src/ffickle/rust/compiler/rustc_const_eval/src/interpret/operand.rs,77,NA
tree-sitter-jack,tests::test_can_load_grammar,internal compiler error: /usr/src/ffickle/rust/compiler/rustc_const_eval/src/interpret/operand.rs:77:42: Got a scalar pair where a scalar was expected,internal compiler error,/usr/src/ffickle/rust/compiler/rustc_const_eval/src/interpret/operand.rs,77,NA
tree-sitter-javascript,tests::can_load_grammar,internal compiler error: /usr/src/ffickle/rust/compiler/rustc_const_eval/src/interpret/operand.rs:77:42: Got a scalar pair where a scalar was expected,internal compiler error,/usr/src/ffickle/rust/compiler/rustc_const_eval/src/interpret/operand.rs,77,NA
tree-sitter-json,tests::test_can_load_grammar,internal compiler error: /usr/src/ffickle/rust/compiler/rustc_const_eval/src/interpret/operand.rs:77:42: Got a scalar pair where a scalar was expected,internal compiler error,/usr/src/ffickle/rust/compiler/rustc_const_eval/src/interpret/operand.rs,77,NA
tree-sitter-kdl,tests::test_can_load_grammar,internal compiler error: /usr/src/ffickle/rust/compiler/rustc_const_eval/src/interpret/operand.rs:77:42: Got a scalar pair where a scalar was expected,internal compiler error,/usr/src/ffickle/rust/compiler/rustc_const_eval/src/interpret/operand.rs,77,NA
tree-sitter-kind,tests::test_can_load_grammar,internal compiler error: /usr/src/ffickle/rust/compiler/rustc_const_eval/src/interpret/operand.rs:77:42: Got a scalar pair where a scalar was expected,internal compiler error,/usr/src/ffickle/rust/compiler/rustc_const_eval/src/interpret/operand.rs,77,NA
tree-sitter-kotlin,tests::test_can_load_grammar,internal compiler error: /usr/src/ffickle/rust/compiler/rustc_const_eval/src/interpret/operand.rs:77:42: Got a scalar pair where a scalar was expected,internal compiler error,/usr/src/ffickle/rust/compiler/rustc_const_eval/src/interpret/operand.rs,77,NA
tree-sitter-lua,tests::test_can_load_grammar,internal compiler error: /usr/src/ffickle/rust/compiler/rustc_const_eval/src/interpret/operand.rs:77:42: Got a scalar pair where a scalar was expected,internal compiler error,/usr/src/ffickle/rust/compiler/rustc_const_eval/src/interpret/operand.rs,77,NA
tree-sitter-luadoc,tests::test_can_load_grammar,internal compiler error: /usr/src/ffickle/rust/compiler/rustc_const_eval/src/interpret/operand.rs:77:42: Got a scalar pair where a scalar was expected,internal compiler error,/usr/src/ffickle/rust/compiler/rustc_const_eval/src/interpret/operand.rs,77,NA
tree-sitter-luap,tests::test_can_load_grammar,internal compiler error: /usr/src/ffickle/rust/compiler/rustc_const_eval/src/interpret/operand.rs:77:42: Got a scalar pair where a scalar was expected,internal compiler error,/usr/src/ffickle/rust/compiler/rustc_const_eval/src/interpret/operand.rs,77,NA
tree-sitter-luau,tests::test_can_load_grammar,internal compiler error: /usr/src/ffickle/rust/compiler/rustc_const_eval/src/interpret/operand.rs:77:42: Got a scalar pair where a scalar was expected,internal compiler error,/usr/src/ffickle/rust/compiler/rustc_const_eval/src/interpret/operand.rs,77,NA
tree-sitter-lura,tests::test_can_load_grammar,internal compiler error: /usr/src/ffickle/rust/compiler/rustc_const_eval/src/interpret/operand.rs:77:42: Got a scalar pair where a scalar was expected,internal compiler error,/usr/src/ffickle/rust/compiler/rustc_const_eval/src/interpret/operand.rs,77,NA
tree-sitter-merlin6502,tests::test_can_load_grammar,internal compiler error: /usr/src/ffickle/rust/compiler/rustc_const_eval/src/interpret/operand.rs:77:42: Got a scalar pair where a scalar was expected,internal compiler error,/usr/src/ffickle/rust/compiler/rustc_const_eval/src/interpret/operand.rs,77,NA
tree-sitter-mozcpp,tests::can_load_grammar,internal compiler error: /usr/src/ffickle/rust/compiler/rustc_const_eval/src/interpret/operand.rs:77:42: Got a scalar pair where a scalar was expected,internal compiler error,/usr/src/ffickle/rust/compiler/rustc_const_eval/src/interpret/operand.rs,77,NA
tree-sitter-nasl,tests::test_can_load_grammar,internal compiler error: /usr/src/ffickle/rust/compiler/rustc_const_eval/src/interpret/operand.rs:77:42: Got a scalar pair where a scalar was expected,internal compiler error,/usr/src/ffickle/rust/compiler/rustc_const_eval/src/interpret/operand.rs,77,NA
tree-sitter-nix,tests::test_can_load_grammar,internal compiler error: /usr/src/ffickle/rust/compiler/rustc_const_eval/src/interpret/operand.rs:77:42: Got a scalar pair where a scalar was expected,internal compiler error,/usr/src/ffickle/rust/compiler/rustc_const_eval/src/interpret/operand.rs,77,NA
tree-sitter-nwscript,tests::test_can_load_grammar,internal compiler error: /usr/src/ffickle/rust/compiler/rustc_const_eval/src/interpret/operand.rs:77:42: Got a scalar pair where a scalar was expected,internal compiler error,/usr/src/ffickle/rust/compiler/rustc_const_eval/src/interpret/operand.rs,77,NA
tree-sitter-objc,tests::test_can_load_grammar,internal compiler error: /usr/src/ffickle/rust/compiler/rustc_const_eval/src/interpret/operand.rs:77:42: Got a scalar pair where a scalar was expected,internal compiler error,/usr/src/ffickle/rust/compiler/rustc_const_eval/src/interpret/operand.rs,77,NA
tree-sitter-odin,tests::test_can_load_grammar,internal compiler error: /usr/src/ffickle/rust/compiler/rustc_const_eval/src/interpret/operand.rs:77:42: Got a scalar pair where a scalar was expected,internal compiler error,/usr/src/ffickle/rust/compiler/rustc_const_eval/src/interpret/operand.rs,77,NA
