crate_name,test_name,full_error_text,error_type,error_text,error_subtext,error_root
tree-sitter-ungrammar,tests::test_can_load_grammar,internal compiler error: /usr/src/ffickle/rust/compiler/rustc_const_eval/src/interpret/operand.rs:77:42: Got a scalar pair where a scalar was expected,internal compiler error,/usr/src/ffickle/rust/compiler/rustc_const_eval/src/interpret/operand.rs,77,NA
tree-sitter-uxntal,tests::test_can_load_grammar,internal compiler error: /usr/src/ffickle/rust/compiler/rustc_const_eval/src/interpret/operand.rs:77:42: Got a scalar pair where a scalar was expected,internal compiler error,/usr/src/ffickle/rust/compiler/rustc_const_eval/src/interpret/operand.rs,77,NA
tree-sitter-wenyan,tests::test_can_load_grammar,internal compiler error: /usr/src/ffickle/rust/compiler/rustc_const_eval/src/interpret/operand.rs:77:42: Got a scalar pair where a scalar was expected,internal compiler error,/usr/src/ffickle/rust/compiler/rustc_const_eval/src/interpret/operand.rs,77,NA
tree-sitter-wgsl,tests::test_can_load_grammar,internal compiler error: /usr/src/ffickle/rust/compiler/rustc_const_eval/src/interpret/operand.rs:77:42: Got a scalar pair where a scalar was expected,internal compiler error,/usr/src/ffickle/rust/compiler/rustc_const_eval/src/interpret/operand.rs,77,NA
tree-sitter-yabo,tests::test_can_load_grammar,internal compiler error: /usr/src/ffickle/rust/compiler/rustc_const_eval/src/interpret/operand.rs:77:42: Got a scalar pair where a scalar was expected,internal compiler error,/usr/src/ffickle/rust/compiler/rustc_const_eval/src/interpret/operand.rs,77,NA
tree-sitter-yuck,tests::test_can_load_grammar,internal compiler error: /usr/src/ffickle/rust/compiler/rustc_const_eval/src/interpret/operand.rs:77:42: Got a scalar pair where a scalar was expected,internal compiler error,/usr/src/ffickle/rust/compiler/rustc_const_eval/src/interpret/operand.rs,77,NA
tree_sitter_grep_tree-sitter-rust,tests::can_load_grammar,internal compiler error: /usr/src/ffickle/rust/compiler/rustc_const_eval/src/interpret/operand.rs:77:42: Got a scalar pair where a scalar was expected,internal compiler error,/usr/src/ffickle/rust/compiler/rustc_const_eval/src/interpret/operand.rs,77,NA
twmap,custom_test_ddnet,Undefined Behavior: read access through <> is forbidden,Undefined Behavior,read access through <3586123> is forbidden,NA,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/libz-sys-1.1.12/src/zlib/deflate.c:1519:22
tz-search,tests::loads_ok,"Undefined Behavior: using uninitialized data, but this operation requires initialized memory",Undefined Behavior,"using uninitialized data, but this operation requires initialized memory",NA,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/miniz-sys-0.1.12/miniz.c:2362:19
valley-free,tests::build_topology,Undefined Behavior: read access through <> is forbidden,Undefined Behavior,read access through <92117> is forbidden,NA,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/bzip2-sys-0.1.11+1.0.8/bzip2-1.0.8/decompress.c:197:178
volcasample-sys,tests::convert_pattern_data,"test failed, to rerun pass `--lib`",Test Failed,NA,NA,NA
x42ltc-sys,ltc_decode_timecode_dot_raw,"memory leaked: alloc (Allocated in heap by LLVM, size: 11776, align: 16), allocated here:",memory leaked,"alloc25707 (Allocated in heap by LLVM, size","11776, align",NA
xxhrs,tests::test_hash_set,"Undefined Behavior: constructing invalid value at .value.reserved64: encountered uninitialized memory, but expected an integer",Undefined Behavior,constructing invalid value at .value.reserved64,"encountered uninitialized memory, but expected an integer",NA
xxhrs,tests::test_build_hasher,"Undefined Behavior: constructing invalid value at .value.reserved: encountered uninitialized memory, but expected an integer",Undefined Behavior,constructing invalid value at .value.reserved,"encountered uninitialized memory, but expected an integer",NA
xyz,smoke,"Undefined Behavior: using uninitialized data, but this operation requires initialized memory",Undefined Behavior,"using uninitialized data, but this operation requires initialized memory",NA,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/miniz-sys-0.1.12/miniz.c:2362:19
xz2,write::tests::smoke,"Undefined Behavior: using uninitialized data, but this operation requires initialized memory",Undefined Behavior,"using uninitialized data, but this operation requires initialized memory",NA,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/lzma-sys-0.1.20/xz-5.2/src/liblzma/lzma/lzma_encoder_optimum_normal.c:250:36
ytnef,tnef::test::new_from_file,"memory leaked: alloc (Rust heap, size: 16, align: 8), allocated here:",memory leaked,"alloc25520 (Rust heap, size","16, align",NA
yusb,context::test::is_global_context,Undefined Behavior: scalar size mismatch: expected 4 bytes but got 16 bytes instead,Undefined Behavior,scalar size mismatch,expected 4 bytes but got 16 bytes instead,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/libusb1-sys-0.6.4/libusb/libusb/os/threads_posix.h:81:92
zip,append,Undefined Behavior: read access through <> is forbidden,Undefined Behavior,read access through <1657823> is forbidden,NA,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/bzip2-sys-0.1.11+1.0.8/bzip2-1.0.8/bzlib.c:300:23
zipcodes,tests::should_fail_to_find_zipcodes_not_included_in_overrides,Undefined Behavior: read access through <> is forbidden,Undefined Behavior,read access through <93055> is forbidden,NA,/root/.cargo/registry/src/index.crates.io-6f17d22bba15001f/bzip2-sys-0.1.11+1.0.8/bzip2-1.0.8/decompress.c:197:178
