tests::test_xy06,rsofa,0.4.5
c_langs_macros::tests::test_fn_id_strings,rust-code-analysis,0.0.25
c_langs_macros::tests::test_fn_macros,rust-code-analysis,0.0.25
c_langs_macros::tests::test_fn_macros_cpp,rust-code-analysis,0.0.25
c_langs_macros::tests::test_fn_qm_try_inspect_cpp,rust-code-analysis,0.0.25
comment_rm::tests::ccomment_remove_comments,rust-code-analysis,0.0.25
metrics::abc::tests::java_assignments_with_conditions,rust-code-analysis,0.0.25
metrics::abc::tests::java_constant_declarations,rust-code-analysis,0.0.25
metrics::abc::tests::java_declarations_with_conditions,rust-code-analysis,0.0.25
metrics::abc::tests::java_for_with_variable_declaration,rust-code-analysis,0.0.25
metrics::abc::tests::java_for_without_variable_declaration,rust-code-analysis,0.0.25
metrics::abc::tests::java_if_multiple_conditions,rust-code-analysis,0.0.25
metrics::abc::tests::java_if_single_conditions,rust-code-analysis,0.0.25
metrics::abc::tests::java_lambda_expressions_return_with_conditions,rust-code-analysis,0.0.25
metrics::abc::tests::java_methods_arguments_with_conditions,rust-code-analysis,0.0.25
metrics::abc::tests::java_return_with_conditions,rust-code-analysis,0.0.25
metrics::abc::tests::java_return_without_conditions,rust-code-analysis,0.0.25
metrics::abc::tests::java_ternary_conditions,rust-code-analysis,0.0.25
metrics::abc::tests::java_while_and_do_while_conditions,rust-code-analysis,0.0.25
metrics::cognitive::tests::c_1_level_nesting,rust-code-analysis,0.0.25
metrics::cognitive::tests::c_goto,rust-code-analysis,0.0.25
metrics::cognitive::tests::c_no_cognitive,rust-code-analysis,0.0.25
metrics::cognitive::tests::c_not_booleans,rust-code-analysis,0.0.25
metrics::cognitive::tests::c_sequence_different_booleans,rust-code-analysis,0.0.25
metrics::cognitive::tests::c_sequence_same_booleans,rust-code-analysis,0.0.25
metrics::cognitive::tests::c_simple_function,rust-code-analysis,0.0.25
metrics::cognitive::tests::c_switch,rust-code-analysis,0.0.25
metrics::cognitive::tests::mozjs_1_level_nesting,rust-code-analysis,0.0.25
metrics::cognitive::tests::mozjs_no_cognitive,rust-code-analysis,0.0.25
metrics::cognitive::tests::mozjs_not_booleans,rust-code-analysis,0.0.25
metrics::cognitive::tests::mozjs_sequence_different_booleans,rust-code-analysis,0.0.25
metrics::cognitive::tests::mozjs_sequence_same_booleans,rust-code-analysis,0.0.25
metrics::cognitive::tests::mozjs_simple_function,rust-code-analysis,0.0.25
