tests::test_with_seq,minimap2,0.1.16+minimap2.2.26
test_init,mir-rs,0.1.0
test_simple_add,mir-rs,0.1.0
pattern::tests::test_all_matches,mogglo,0.1.1
pattern::tests::test_ellipses,mogglo,0.1.1
pattern::tests::test_matches,mogglo,0.1.1
pattern::tests::test_pattern_parse,mogglo,0.1.1
pattern::tests::test_replace,mogglo,0.1.1
test_decode,mpg123,0.1.2
test_mono_decode,mpg123,0.1.2
record::tests::test_parse_signal_mseed3,mseed,0.5.0
extkey_bip32::tests::test_vector_1,mugle_keychain,5.2.0-alpha.5
extkey_bip32::tests::test_vector_2,mugle_keychain,5.2.0-alpha.5
extkey_bip32::tests::test_vector_3,mugle_keychain,5.2.0-alpha.5
keychain::test::secret_key_addition,mugle_keychain,5.2.0-alpha.5
keychain::test::test_key_derivation,mugle_keychain,5.2.0-alpha.5
types::test::split_blinding_factor,mugle_keychain,5.2.0-alpha.5
types::test::zero_key_addition,mugle_keychain,5.2.0-alpha.5
aggsig::tests::test_aggsig_batch,mugle_secp256k1zkp,0.7.12
aggsig::tests::test_aggsig_exchange,mugle_secp256k1zkp,0.7.12
aggsig::tests::test_aggsig_fuzz,mugle_secp256k1zkp,0.7.12
aggsig::tests::test_aggsig_multisig,mugle_secp256k1zkp,0.7.12
aggsig::tests::test_aggsig_single,mugle_secp256k1zkp,0.7.12
ecdh::tests::ecdh,mugle_secp256k1zkp,0.7.12
key::test::invalid_secret_key,mugle_secp256k1zkp,0.7.12
key::test::keypair_slice_round_trip,mugle_secp256k1zkp,0.7.12
key::test::pubkey_from_slice,mugle_secp256k1zkp,0.7.12
key::test::pubkey_hash,mugle_secp256k1zkp,0.7.12
key::test::skey_clear_on_drop,mugle_secp256k1zkp,0.7.12
key::test::skey_from_slice,mugle_secp256k1zkp,0.7.12
key::test::test_add_exp_bad_context,mugle_secp256k1zkp,0.7.12
key::test::test_addition,mugle_secp256k1zkp,0.7.12
key::test::test_debug_output,mugle_secp256k1zkp,0.7.12
