discriminant,type_name
0,Bool
1,Char
2,Int
3,Uint
4,Float
5,Adt
6,Foreign
7,Str
8,Array
9,Slice
10,RawPtr
11,Ref
12,FnDef
13,FnPtr
14,Dynamic
15,Closure
16,Generator
17,GeneratorWitness
18,Never
19,Tuple
20,Alias
21,Param
22,Bound
23,Placeholder
24,Infer
25,Error
26,GeneratorWitnessMIR
